bamFiles	readLengths	Offsets	bamLegends
../07.STAR/SRR10814089_STAR/SRR10814089.Aligned.toTranscriptome.out.sorted.bam	27,28,29,30,31,32,33,34	15,15,15,15,16,16,17,17	108Tcells-Trp-depletion-24h-1
../07.STAR/SRR10814090_STAR/SRR10814090.Aligned.toTranscriptome.out.sorted.bam	27,28,29,30,31,32,33,34	15,15,15,15,16,16,17,17	108Tcells-Trp-depletion-24h-2
../07.STAR/SRR10814092_STAR/SRR10814092.Aligned.toTranscriptome.out.sorted.bam	20,21,22,23,24,25,26,27,28,29,30,31,32,33	15,15,16,16,15,15,15,15,15,15,15,16,16,16	108Tcells-Trp-full-24h
../07.STAR/SRR10814093_STAR/SRR10814093.Aligned.toTranscriptome.out.sorted.bam	20,21,22,23,24,25,26,27,28,29,30,31,32,33	15,15,16,16,15,15,15,15,15,15,15,16,16,16	108Tcells-Trp-depletion-48h-1
../07.STAR/SRR10814094_STAR/SRR10814094.Aligned.toTranscriptome.out.sorted.bam	20,21,22,27,28,29,30,31,32	15,15,16,15,15,15,15,16,16	108Tcells-Trp-depletion-48h-2
../07.STAR/SRR10814096_STAR/SRR10814096.Aligned.toTranscriptome.out.sorted.bam	18,20,21,22,24,26,27,28,29,30,31,32,33	15,15,15,16,15,15,15,15,15,15,16,16,17	108Tcells-Trp-full-48h
../07.STAR/SRR10814097_STAR/SRR10814097.Aligned.toTranscriptome.out.sorted.bam	26,27,28,29,30,31,32	15,15,15,15,15,16,17	MD55A3cells-Tyr-full-1
../07.STAR/SRR10814098_STAR/SRR10814098.Aligned.toTranscriptome.out.sorted.bam	26,27,28,29,30,31,32	15,15,15,15,15,16,17	MD55A3cells-Tyr-full-2
../07.STAR/SRR10814099_STAR/SRR10814099.Aligned.toTranscriptome.out.sorted.bam	26,27,28,29,30,31,32	15,15,15,15,15,16,17	MD55A3cells-Tyr-depletion-48h-1
../07.STAR/SRR10814100_STAR/SRR10814100.Aligned.toTranscriptome.out.sorted.bam	26,27,28,29,30,31,32	15,15,15,15,15,16,17	MD55A3cells-Tyr-depletion-48h-2
