Overlap	Symbol
Common	ATF3
Common	BCAT2
Common	BDNF
Common	CEBPG
Common	CLCN3
Common	CXADR
Common	DDIT3
Common	EIF4G2
Common	B4GALNT2
Common	GNG5
Common	HSPA5
Common	HAS2
Common	HFE
Common	CD74
Common	INCENP
Common	ITGB5
Common	ITGB7
Common	ITIH1
Common	KIF13B
Common	KIFC1
Common	ARHGEF2
Common	LCN2
Common	LGALS3
Common	AMACR
Common	AFF1
Common	MTHFD2
Common	MTM1
Common	PPP1R15A
Common	NFE2L1
Common	NME2
Common	DDR2
Common	SQSTM1
Common	PAX8
Common	PER2
Common	PIK3C2G
Common	PRKG2
Common	PTBP1
Common	PTN
Common	PVRL2
Common	RELN
Common	DPF2
Common	RPL7
Common	SARS
Common	SLC20A1
Common	SLC7A5
Common	SNAI2
Common	STC2
Common	TAGLN2
Common	TGIF1
Common	TNKS
Common	RPL13A
Common	UBE2L3
Common	UBE2G2
Common	UQCRQ
Common	VARS
Common	VLDLR
Common	WARS
Common	YWHAG
Common	ETS1
Common	PACSIN2
Common	PTPN21
Common	SLC7A11
Common	DEB1
Common	DYSF
Common	ZFP238
Common	ERO1L
Common	D4BWG0951E
Common	PNRC2
Common	GNPNAT1
Common	GTPBP2
Common	HTRA1
Common	TSPAN5
Common	EIF3C
Common	ALDH18A1
Common	CNPY2
Common	YLPM1
Common	ICK
Common	NFU1
Common	SERTAD2
Common	TREM3
Common	NRIP2
Common	FADS3
Common	FAM129A
Common	B230120H23RIK
Common	KRTCAP2
Common	GHITM
Common	NOSIP
Common	2610528E23RIK
Common	UBE2W
Common	WWP2
Common	EDEM3
Common	LSM14A
Common	NAAA
Common	PFDN1
Common	EIF2S2
Common	DUSP6
Common	FIBIN
Common	IFT172
Common	MRPL24
Common	SLC25A39
Common	OTUB2
Common	LEPROTL1
Common	FAM96A
Common	LMBRD1
Common	TAB2
Common	FLNC
Common	1810031K17RIK
Common	DEGS2
Common	NARS
Common	HDAC8
Common	STEAP1
Common	2810408A11RIK
Common	TAF15
Common	BTF3L4
Common	FAM175A
Common	ANGPTL6
Common	SLC41A3
Common	COASY
Common	CYB5R1
Common	TPX2
Common	KBTBD5
Common	TSPYL4
Common	2810006K23RIK
Common	GOLIM4
Common	XPOT
Common	RD3
Common	LONP1
Common	1300001I01RIK
Common	STK40
Common	1700016K19RIK
Common	4931414P19RIK
Common	SAMD4
Common	ASCC2
Common	ZC3H18
Common	SNRNP35
Common	TBC1D9B
Common	ZC3HAV1
Common	RNF114
Common	IL23A
Common	DNAJA3
Common	RBM9
Common	UGT1A6A
Common	HIST2H4
Common	USP6NL
Common	AKNA
Common	EMILIN1
Common	6330503K22RIK
Common	IARS
Common	MYCBP2
Common	LARS
Common	MACROD1
Common	YARS
Common	ATF5
Common	EPRS
Common	ANKRD1
Common	SLCO1A5
Common	GPT2
Common	RCC2
Common	PPP1R15B
Common	DUT
Common	SRSF1
Common	ACAA1A
Common	PRDM15
Common	SLC19A2
Common	POP5
Common	RBM39
Common	ACOT2
Common	ZBTB7C
Common	2700007P21RIK
Common	ZFP598
Common	FAM83F
Common	A630007B06RIK
Common	ALDH1L2
Common	ZFC3H1
Common	MARS
Common	TMEM11
Common	KDM6B
Common	EIF5
Common	LHFPL2
Common	44991
Common	SOAT2
Common	CYP2AB1
Common	UBR2
Common	ERLIN1
Common	ATF6
Common	CAMSAP1
Common	PHYHD1
Common	TRIB3
Common	RSBN1
Common	PAQR3
Common	LRRK1
Common	CNOT1
Common	SLC38A7
Common	AARS
Common	SNX33
Common	TBPL1
Common	CDH24
Common	DLEU7
Common	ABCC4
Common	A630033E08RIK
Common	SLC1A7
Common	GPATCH3
Common	ZBTB38
Common	PKMYT1
Common	OPTC
Common	TMTC2
Common	GM867
Common	JHDM1D
Common	AGAP1
Common	GARS
Common	YPEL5
Common	CDSN
Common	FLRT1
Common	TMEM189
Common	NDUFA4L2
Common	FAM159A
Common	GPX4
Common	DEFB43
CHOP_Only	ABL1
CHOP_Only	AKR1B7
CHOP_Only	CAR6
CHOP_Only	CAV1
CHOP_Only	ENTPD5
CHOP_Only	CSRP1
CHOP_Only	EMP2
CHOP_Only	EPS8
CHOP_Only	ERH
CHOP_Only	GPC4
CHOP_Only	HIST2H3C1
CHOP_Only	ID1
CHOP_Only	INSR
CHOP_Only	ITIH2
CHOP_Only	JAK2
CHOP_Only	MYCL1
CHOP_Only	TM4SF1
CHOP_Only	MBD2
CHOP_Only	MBD4
CHOP_Only	MCM2
CHOP_Only	MDS1
CHOP_Only	ME1
CHOP_Only	MSMB
CHOP_Only	MT2
CHOP_Only	MTTP
CHOP_Only	NGF
CHOP_Only	NR4A2
CHOP_Only	PAFAH1B2
CHOP_Only	PSMC2
CHOP_Only	PTPN2
CHOP_Only	C80913
CHOP_Only	SNRK
CHOP_Only	STAR
CHOP_Only	TRIM24
CHOP_Only	TRHR
CHOP_Only	YWHAZ
CHOP_Only	NT5E
CHOP_Only	PIBF1
CHOP_Only	SDCBP
CHOP_Only	TACC2
CHOP_Only	ARL6IP5
CHOP_Only	LLPH
CHOP_Only	ZFP869
CHOP_Only	WLS
CHOP_Only	FAM135A
CHOP_Only	RPA3
CHOP_Only	4930547C10RIK
CHOP_Only	MS4A6D
CHOP_Only	KRTAP3-1
CHOP_Only	2510012J08RIK
CHOP_Only	WARS2
CHOP_Only	PWWP2A
CHOP_Only	9130011E15RIK
CHOP_Only	CCDC19
CHOP_Only	DUS4L
CHOP_Only	ACTR3
CHOP_Only	TTC27
CHOP_Only	GZF1
CHOP_Only	4930486G11RIK
CHOP_Only	NDFIP2
CHOP_Only	1700081L11RIK
CHOP_Only	LASS2
CHOP_Only	RECQL4
CHOP_Only	DACH2
CHOP_Only	KLRA18
CHOP_Only	NOL12
CHOP_Only	WDR92
CHOP_Only	KAZALD1
CHOP_Only	CAMK2D
CHOP_Only	FAM64A
CHOP_Only	LIMS1
CHOP_Only	PALMD
CHOP_Only	EHBP1L1
CHOP_Only	IL17RD
CHOP_Only	ZFP184
CHOP_Only	OSGIN2
CHOP_Only	VMN1R183
CHOP_Only	TMEM60
CHOP_Only	D4ERTD22E
CHOP_Only	ARHGEF11
CHOP_Only	SIPA1L1
CHOP_Only	CHDH
CHOP_Only	REEP2
CHOP_Only	RALGAPB
CHOP_Only	HNRNPA3
CHOP_Only	UBA6
CHOP_Only	AGPAT9
CHOP_Only	FOXRED1
CHOP_Only	OSTN
CHOP_Only	DUSP5
CHOP_Only	TNFSF18
CHOP_Only	RPUSD2
CHOP_Only	NRCAM
CHOP_Only	ISLR2
CHOP_Only	BEND6
CHOP_Only	MORC3
CHOP_Only	DGKH
CHOP_Only	PARL
CHOP_Only	9630014M24RIK
CHOP_Only	DEFB45
CHOP_Only	ZNHIT3
CHOP_Only	KNCN
CHOP_Only	VMN1R223
ATF4_Only	AKAP2
ATF4_Only	APBB2
ATF4_Only	APOBEC1
ATF4_Only	SLC7A1
ATF4_Only	BCAT1
ATF4_Only	CASP4
ATF4_Only	CAST
ATF4_Only	RUNX3
ATF4_Only	COL18A1
ATF4_Only	CP
ATF4_Only	BCAR1
ATF4_Only	DPYSL2
ATF4_Only	CR1L
ATF4_Only	DDC
ATF4_Only	EIF4EBP1
ATF4_Only	F3
ATF4_Only	FCER1G
ATF4_Only	TSC22D3
ATF4_Only	SLC6A9
ATF4_Only	GOT1
ATF4_Only	GPAM
ATF4_Only	GRB10
ATF4_Only	GSTO1
ATF4_Only	H2-Q7
ATF4_Only	HMOX1
ATF4_Only	IER2
ATF4_Only	IL1R1
ATF4_Only	IL2
ATF4_Only	INPP5B
ATF4_Only	MDFIC
ATF4_Only	KLF4
ATF4_Only	SERPINA3C
ATF4_Only	LMO4
ATF4_Only	LTBP3
ATF4_Only	MAZ
ATF4_Only	ANAPC1
ATF4_Only	SLC3A2
ATF4_Only	MRAS
ATF4_Only	MTAP4
ATF4_Only	MTHFR
ATF4_Only	MYOM1
ATF4_Only	NCL
ATF4_Only	NDRG1
ATF4_Only	NF1
ATF4_Only	NFKB1
ATF4_Only	NOS2
ATF4_Only	OSMR
ATF4_Only	PDE1A
ATF4_Only	PER3
ATF4_Only	ABCB1A
ATF4_Only	PLD1
ATF4_Only	PTPN12
ATF4_Only	PTPRS
ATF4_Only	RAD21
ATF4_Only	RAI1
ATF4_Only	RAN
ATF4_Only	RBM4
ATF4_Only	RPS6KA2
ATF4_Only	RUVBL2
ATF4_Only	CCL2
ATF4_Only	CCL7
ATF4_Only	SERPINF1
ATF4_Only	SLC1A5
ATF4_Only	SLIT1
ATF4_Only	SERPINB9
ATF4_Only	SRPK1
ATF4_Only	EIF1
ATF4_Only	SURF6
ATF4_Only	SYNJ2
ATF4_Only	TNFAIP2
ATF4_Only	UBA3
ATF4_Only	UBP1
ATF4_Only	WBP4
ATF4_Only	WISP1
ATF4_Only	ZBTB7B
ATF4_Only	HAX1
ATF4_Only	VNN3
ATF4_Only	ASNS
ATF4_Only	CARS
ATF4_Only	CABP1
ATF4_Only	CLIC4
ATF4_Only	TOR3A
ATF4_Only	H2AFZ
ATF4_Only	USP2
ATF4_Only	HTATIP2
ATF4_Only	TSLP
ATF4_Only	CALCRL
ATF4_Only	SLC1A4
ATF4_Only	SNX12
ATF4_Only	LGALS8
ATF4_Only	ATL2
ATF4_Only	NUPR1
ATF4_Only	SPEN
ATF4_Only	FGF21
ATF4_Only	DNAJB12
ATF4_Only	ANGPTL4
ATF4_Only	MMP19
ATF4_Only	SLC35B4
ATF4_Only	METTL9
ATF4_Only	BHLHE22
ATF4_Only	BCMO1
ATF4_Only	HERPUD1
ATF4_Only	GPR85
ATF4_Only	MRPL54
ATF4_Only	1110018J18RIK
ATF4_Only	KLF15
ATF4_Only	ATP6V1G1
ATF4_Only	PLA2G12A
ATF4_Only	DHRS7
ATF4_Only	CRLS1
ATF4_Only	TMIGD1
ATF4_Only	ORMDL3
ATF4_Only	SLTM
ATF4_Only	4921524J17RIK
ATF4_Only	TRIM35
ATF4_Only	ACAD8
ATF4_Only	UQCRC2
ATF4_Only	TTC23
ATF4_Only	FAM119A
ATF4_Only	2900073G15RIK
ATF4_Only	3110049J23RIK
ATF4_Only	GCFC1
ATF4_Only	ANP32B
ATF4_Only	SAMD8
ATF4_Only	SLC38A2
ATF4_Only	JAGN1
ATF4_Only	RAB39B
ATF4_Only	MID1IP1
ATF4_Only	B230217C12RIK
ATF4_Only	RNASET2B
ATF4_Only	MRPL13
ATF4_Only	CHAC1
ATF4_Only	UBR4
ATF4_Only	BOLA1
ATF4_Only	GTPBP4
ATF4_Only	IPMK
ATF4_Only	TTC9C
ATF4_Only	TBCE
ATF4_Only	SLC25A33
ATF4_Only	NIPBL
ATF4_Only	ARID5B
ATF4_Only	WDR27
ATF4_Only	CUL2
ATF4_Only	SLC16A14
ATF4_Only	PHF10
ATF4_Only	FBXL2
ATF4_Only	USP36
ATF4_Only	SPATS2
ATF4_Only	ARPC5L
ATF4_Only	PCK2
ATF4_Only	SCPEP1
ATF4_Only	DDIT4
ATF4_Only	RPRD2
ATF4_Only	MFF
ATF4_Only	FBXO31
ATF4_Only	CASC5
ATF4_Only	IP6K2
ATF4_Only	KLHDC10
ATF4_Only	RHBDD1
ATF4_Only	ANKRD11
ATF4_Only	PRSS36
ATF4_Only	PGPEP1L
ATF4_Only	ZFP623
ATF4_Only	CRISPLD2
ATF4_Only	SH3BP5L
ATF4_Only	JDP2
ATF4_Only	PDE4DIP
ATF4_Only	ACOX2
ATF4_Only	ECHS1
ATF4_Only	DTNBP1
ATF4_Only	WWTR1
ATF4_Only	IFI44
ATF4_Only	CD276
ATF4_Only	TRAF3IP2
ATF4_Only	RHOQ
