DE_union_geneID	DE_union_transID
ENSG00000000003	ENST00000612152
ENSG00000000460	ENST00000286031
ENSG00000001167	ENST00000341376
ENSG00000001497	ENST00000374811
ENSG00000001617	ENST00000002829
ENSG00000002549	ENST00000226299
ENSG00000002586	ENST00000611428
ENSG00000002822	ENST00000406869
ENSG00000003249	ENST00000392973
ENSG00000003402	ENST00000309955
ENSG00000003436	ENST00000233156
ENSG00000003989	ENST00000470360
ENSG00000004399	ENST00000324093
ENSG00000004455	ENST00000672715
ENSG00000004478	ENST00000001008
ENSG00000004487	ENST00000688680
ENSG00000004534	ENST00000443081
ENSG00000004776	ENST00000004982
ENSG00000004799	ENST00000005178
ENSG00000004846	ENST00000404938
ENSG00000004864	ENST00000416240
ENSG00000005022	ENST00000317881
ENSG00000005059	ENST00000394650
ENSG00000005100	ENST00000225296
ENSG00000005156	ENST00000378526
ENSG00000005175	ENST00000005386
ENSG00000005194	ENST00000394391
ENSG00000005238	ENST00000378561
ENSG00000005243	ENST00000621465
ENSG00000005436	ENST00000321027
ENSG00000005486	ENST00000318622
ENSG00000005513	ENST00000293894
ENSG00000005884	ENST00000320031
ENSG00000006327	ENST00000575124
ENSG00000006453	ENST00000005260
ENSG00000006459	ENST00000397560
ENSG00000006530	ENST00000649286
ENSG00000006534	ENST00000342456
ENSG00000006576	ENST00000416283
ENSG00000006607	ENST00000413432
ENSG00000006625	ENST00000275428
ENSG00000006634	ENST00000265728
ENSG00000006704	ENST00000476977
ENSG00000006747	ENST00000297029
ENSG00000007237	ENST00000432992
ENSG00000007264	ENST00000310132
ENSG00000007376	ENST00000561734
ENSG00000007933	ENST00000367755
ENSG00000007968	ENST00000361729
ENSG00000008083	ENST00000341776
ENSG00000008196	ENST00000393655
ENSG00000008300	ENST00000164024
ENSG00000008441	ENST00000592199
ENSG00000008517	ENST00000526464
ENSG00000008710	ENST00000262304
ENSG00000008735	ENST00000329492
ENSG00000008869	ENST00000233099
ENSG00000009335	ENST00000348165
ENSG00000009954	ENST00000339594
ENSG00000010030	ENST00000615781
ENSG00000010072	ENST00000391858
ENSG00000010292	ENST00000315579
ENSG00000010295	ENST00000465801
ENSG00000010610	ENST00000011653
ENSG00000011028	ENST00000303375
ENSG00000011243	ENST00000397410
ENSG00000011258	ENST00000586178
ENSG00000011260	ENST00000225298
ENSG00000011304	ENST00000635647
ENSG00000011332	ENST00000614244
ENSG00000011376	ENST00000650792
ENSG00000011405	ENST00000691414
ENSG00000011465	ENST00000052754
ENSG00000011566	ENST00000263881
ENSG00000012048	ENST00000471181
ENSG00000012061	ENST00000300853
ENSG00000012171	ENST00000616701
ENSG00000012822	ENST00000262059
ENSG00000013016	ENST00000322054
ENSG00000013288	ENST00000505907
ENSG00000013297	ENST00000064724
ENSG00000013364	ENST00000395353
ENSG00000013503	ENST00000228347
ENSG00000013563	ENST00000369809
ENSG00000013573	ENST00000542838
ENSG00000013588	ENST00000014914
ENSG00000015133	ENST00000389857
ENSG00000015475	ENST00000317361
ENSG00000016082	ENST00000230658
ENSG00000016391	ENST00000315251
ENSG00000017483	ENST00000595796
ENSG00000018510	ENST00000264167
ENSG00000019582	ENST00000009530
ENSG00000020181	ENST00000412232
ENSG00000020577	ENST00000554335
ENSG00000020633	ENST00000399916
ENSG00000020922	ENST00000323929
ENSG00000021300	ENST00000398492
ENSG00000021355	ENST00000380739
ENSG00000021645	ENST00000335750
ENSG00000021762	ENST00000263650
ENSG00000021826	ENST00000673630
ENSG00000023191	ENST00000534797
ENSG00000023608	ENST00000216294
ENSG00000023892	ENST00000316637
ENSG00000023902	ENST00000369124
ENSG00000024422	ENST00000263277
ENSG00000024526	ENST00000456315
ENSG00000025039	ENST00000369415
ENSG00000025156	ENST00000452194
ENSG00000025708	ENST00000487577
ENSG00000026025	ENST00000544301
ENSG00000026103	ENST00000690268
ENSG00000026950	ENST00000289361
ENSG00000027075	ENST00000332981
ENSG00000028137	ENST00000376259
ENSG00000028277	ENST00000692977
ENSG00000029153	ENST00000266503
ENSG00000029363	ENST00000531224
ENSG00000029725	ENST00000537505
ENSG00000029993	ENST00000325307
ENSG00000030066	ENST00000694866
ENSG00000030582	ENST00000053867
ENSG00000032444	ENST00000221249
ENSG00000033327	ENST00000361507
ENSG00000034677	ENST00000519449
ENSG00000035141	ENST00000430566
ENSG00000035687	ENST00000366535
ENSG00000035862	ENST00000262768
ENSG00000036549	ENST00000370801
ENSG00000037280	ENST00000261937
ENSG00000037474	ENST00000264670
ENSG00000037757	ENST00000040663
ENSG00000038210	ENST00000264864
ENSG00000038358	ENST00000358933
ENSG00000038382	ENST00000344204
ENSG00000039068	ENST00000261769
ENSG00000039319	ENST00000505560
