geneName	MCF10A_EtOH_4h	MCF10A_TAM_4h	Hela_6h	Hela_9h	MCF7_48h	T47D_48h	Hs578t_48h	MDAMB231_48h
KDM7A	2.47282850449297	0.828521606517644	1.93266	3.15573	0.226518	-0.221442	3.42796	0.636155
RPS20	-1.02874324695885	0.00864215367914201	-0.554449	-1.38733	0.453907	0.0436476	0.371804	0.339102
BIRC3	1.78717451838072	0.00802194872059011	0.610237	1.85552	-0.384917	0.217669	1.11182	-0.19392
BMAL2	-1.21339543087072	0.00148436530170778	0.0913178	-0.0697612	0.293155	-1.68922	0.111816	-0.10081
SARS1	1.11923729425899	4.97078696516957e-06	1.31808	1.61024	-0.718621	0.852308	1.57533	1.02857
ZCCHC8	1.25883518016841	8.4362688414494e-05	2.00577	2.56237	0.652558	0.648304	1.73033	1.25674
ADAMTS6	2.57673393700902	0.0222381180842677	1.02142	1.77696	-0.384917	0.632707	-0.395667	0.162224
TNFRSF9	5.87135924254994	0.00105696303664653	2.55563	3.42599	-0.384917	-0.367293	-2.30322	-1.3232
NEDD4L	1.12480783155392	2.04975978214943e-06	0.628068	1.7122	0.347232	0.957186	1.64015	1.73458
HERPUD1	1.861540118296	2.10404029392352e-17	2.14491	2.55192	-0.708842	0.429735	1.20322	0.439064
PRSS8	1.48780327726646	0.0643972611580633	2.64913	3.46238	-0.365017	-0.278954	-2.68404	0.484152
SYNE2	1.02738277341462	0.0624226572484594	1.02618	1.55669	0.503234	-0.899005	-2.03479	-1.57626
FAM107B	1.43870739957369	0.0193752485317944	2.35335	2.48389	0.837476	0.859215	1.31714	-0.590616
MTHFD2	1.40894990919075	1.86161030853448e-09	0.995724	0.73644	-0.159569	0.530609	1.09964	0.773659
KDM4A	1.43083230419416	0.00015356183640734	0.760832	1.34283	0.256811	0.295954	-0.336388	1.05352
HYAL2	-1.03878675642074	0.00118452743773311	-0.692927	-0.45442	0.438206	-0.887161	-1.12558	-0.881976
NEDD4	1.16149912464087	8.42261175335069e-05	1.13562	1.71551	0.0242323	-0.154694	0.388526	1.24023
DAPP1	2.09593126853051	0.000598899171708052	2.82143	3.49205	-1.38492	1.63271	-1.62515	0.484152
ASNS	3.08640525489161	1.2105453048071e-51	2.76051	3.03601	0.170005	1.18362	0.789888	1.63054
FERMT2	1.21896414952866	0.000226914730125714	0.243432	0.517617	0.218687	0.098522	-0.926613	0.534077
PTGS2	2.37723288592916	4.78671599135338e-07	3.15185	4.78919	-0.384917	1.63271	-1.12265	-0.0463625
TUBE1	1.77939348793273	3.7585077876201e-08	1.6698	1.50614	-0.632844	-0.00288184	1.78989	0.422752
SEMA3A	-1.69320277688175	0.126051259504318	1.57306	3.09562	0.10051	-1.10426	-2.48841	-2.14312
FOSL2	1.00262124199183	0.00142877326545772	0.892404	1.45151	0.223204	-0.355015	1.07078	-0.560666
CXCL2	2.18965392060923	0.037423680076175	4.36346	5.57736	-0.384917	0.632707	-0.0401867	0.484152
PPP1R15A	4.12813706513979	7.42965322554523e-12	3.90569	5.77267	-0.990638	1.46278	3.0111	2.18808
SMOX	1.42651067489375	0.475411797328096	1.16905	2.63162	0.162571	0.632707	2.67863	-0.167924
AARS1	1.09268238862593	3.11039822094474e-10	1.60354	2.21914	-0.478947	0.26286	0.625084	1.43676
TINF2	-1.07179465658984	0.000772042283111309	0.792645	1.19734	-0.480074	-0.0124506	-0.193433	-0.19392
PHGDH	1.98741318655761	2.98819513569173e-15	1.4996	2.22026	0.150027	0.413995	1.22644	1.29992
DSP	1.04293105552936	0.00807394114748794	0.483532	1.29334	0.393211	-0.21483	-1.43584	-0.0227021
XBP1	1.57918175306263	4.31374847193289e-16	2.8075	2.9434	-0.0463832	0.362121	1.90253	0.812104
PCK2	2.35353265287109	6.19770692092851e-17	3.83351	4.51019	-0.50782	0.59043	1.04669	0.32943
TRIB3	4.20315684153443	2.90354659157217e-45	3.6448	4.12479	-0.869759	1.85177	3.62942	1.87579
JAG1	2.20662128855286	9.87785313031086e-06	-0.563026	0.437044	0.290461	0.109145	-3.06482	-1.1526
LIPG	1.0243796545065	6.07170684893864e-05	0.861754	1.58433	1.93701	-0.174648	-1.97416	-3.37383
RIOK3	1.39517393711343	0.00195655957332764	0.689031	1.37514	0.277708	0.601257	1.1694	0.991112
INTS6	1.47452590194575	0.0267700550956066	0.822341	0.849621	0.315523	-0.436188	0.865176	0.179298
TSC22D1	1.21427957239716	2.0902002911158e-08	1.86047	2.16774	-0.247145	0.312886	1.89422	0.370363
RELB	1.6030705216458	0.0257964213424626	-0.311459	1.0546	0.508168	1.21767	1.08267	-0.00127457
CCNE1	-1.20978234878642	0.0769561686648964	-0.580371	-0.20336	1.28751	-0.0453652	0.1684	0.112183
