geneName	HEK293T.3h	HCT116.3h	Hela.3h	HEK293T.6h	HEK293.12h.CHX	HEK293.12h.noCHX	SUM159.12h	SUM159.0.2.24h
SCYL3	0.981042	1.10628	0.677571	0.615761	0.687172	3.16808	0.423006	0.187183
ANKIB1	-0.126397	1.06675	-0.540182	-0.525152	-0.0398845	-0.758239	0.321572	-0.601931
PRSS22	2.66071	-1.12589	0.613441	0.0528245	-1.65522	0.736526	-0.115414	0.331573
TMEM98	-0.792288	-1.20271	0.613441	0.0902992	-0.732262	0.01406	0.884586	0.746611
PNPLA4	0.186778	1.2485	-0.521209	0.0351225	-0.570053	0.414598	-1.11541	2.33157
TRAPPC6A	-0.242906	-1.23924	-0.29345	0.784628	0.624203	1.13988	1.88459	0.817
CPS1	0.22555	1.2597	0.338559	0.432856	0.451695	0.267041	-0.659735	-0.343753
GEMIN8	-0.201787	1.00904	0.120401	0.822527	1.16457	0.543881	0.262223	0.87427
YTHDC2	0.459701	1.01404	0.366459	0.0376381	1.38709	0.198106	-0.10587	-0.687706
RCN1	-0.185994	-1.35027	-0.0700856	-0.0891945	0.133275	-0.793989	-0.166438	0.118896
SLC2A3	0.113222	2.02611	-0.1484	0.126825	0.666707	1.73653	-0.297781	0.118354
ZNF532	0.185371	-2.88078	0.560973	0.415395	-1.35566	-0.678511	0.145238	-0.117185
KCNQ2	0.242789	-1.04428	-0.386559	-1.44598	-1.69786	-1.51981	1.58503	1.13893
RASAL2	0.0777437	1.33037	0.44863	0.0153498	-0.0213485	0.388603	0.0475601	0.260082
PDS5B	0.563205	1.06436	0.305773	0.342331	-0.282177	0.241761	-0.190992	-1.3475
SLC27A5	-0.019601	-1.15642	0.299941	-0.084679	-1.03631	-1.39276	0.724121	1.04943
ZNF416	0.660709	2.51154	1.25087	0.39796	1.80421	-0.0410816	-0.115414	1.07881
PPP1R15A	1.16819	1.74998	2.81033	2.1468	0.9234	2.01663	-1.21163	3.0344
PPP2R3C	0.595066	-1.04789	0.0284782	0.336131	0.120883	0.456418	-0.245049	0.320258
IFT74	0.785946	1.05526	0.466599	0.380291	1.3804	0.610995	0.219624	0.361198
GADD45B	-0.824717	1.11922	1.76652	-0.449676	-1.31127	-0.263474	-0.867595	0.902015
ZMAT5	-0.413039	-1.24691	0.138103	-0.0770558	-0.224329	0.0783145	0.134564	0.581552
CCNB1IP1	0.608948	1.4747	1.18535	0.360947	0.834883	0.6859	0.319523	3.22054
PLTP	-0.229522	-1.97389	0.128014	-0.27573	1.58534	-0.158632	-0.308059	0.331573
SNTA1	-0.707022	-1.71086	-0.155234	0.0762835	-0.584831	-0.804042	0.067064	-1.0567
PXMP4	0.410989	-1.61775	-0.689122	0.555325	-0.08818	0.555954	-0.138314	0.398171
FZD3	0.432842	1.24671	0.0284782	0.476475	-0.0836786	-0.0790494	-0.421122	0.971073
VRK3	-0.0992395	-1.29582	-0.155234	-0.288792	-0.527116	0.0156801	0.530155	-0.867207
POLR2I	-0.90942	-1.45336	-0.249056	-0.493458	-1.15103	-0.662881	0.416109	1.36399
RAB3D	-0.457685	-1.11026	-0.987463	-0.625247	-1.51639	-0.848436	0.330386	-1.57221
PLPPR2	-0.661219	-1.1538	-0.529517	-0.532138	-1.46258	-0.848436	-0.316111	-0.687286
KDM4C	0.52429	1.28914	0.259804	0.217569	0.785352	0.284014	0.0289758	0.841673
BAG1	0.0727255	-1.24137	-0.325965	-0.0606335	-1.18772	-0.704047	0.295218	2.22195
MAPK8	0.249395	-1.1595	-0.132376	0.17983	0.369958	0.151564	0.0101168	-0.220968
CHIC2	0.540415	1.44961	-0.0173255	0.109408	0.567172	0.270862	0.0492166	0.48199
ASIC1	-0.231577	-1.24851	0.214891	0.0528245	-0.646659	-0.758239	0.236571	-2.109
DSE	-0.30012	1.04122	0.30449	-0.597841	-1.42966	-0.98594	-0.075082	-0.56098
CAP2	0.311611	1.81966	-0.0698869	0.227155	0.755712	1.29292	-0.030977	-0.849262
PEX7	0.261482	1.18223	-0.0204314	0.501955	0.680602	0.427198	0.329725	0.314086
CUL9	0.515659	1.06173	0.472578	0.328459	0.186082	0.823989	0.200954	0.0489861
ARRDC3	1.52321	1.0376	0.337008	-0.084679	1.15213	-0.000439573	0.352825	1.75314
TNNC1	-2.14665	-2.17029	0.0468567	0.467862	-0.954781	1.05845	-0.115414	0.331573
CLCN2	-0.525387	-1.07343	-0.253293	0.0143504	0.0552728	0.736526	-0.0604476	0.413257
