geneName	MCF10A_EtOH_4h	MCF10A_TAM_4h	Hela_6h	Hela_9h	MCF7_48h	T47D_48h	Hs578t_48h	MDAMB231_48h
KDM7A	2.47282850449297	0.828521606517644	1.93266	3.15573	0.226518	-0.221442	3.42796	0.636155
RPS20	-1.02874324695885	0.00864215367914201	-0.554449	-1.38733	0.453907	0.0436476	0.371804	0.339102
BMAL2	-1.21339543087072	0.00148436530170778	0.0913178	-0.0697612	0.293155	-1.68922	0.111816	-0.10081
ADAMTS6	2.57673393700902	0.0222381180842677	1.02142	1.77696	-0.384917	0.632707	-0.395667	0.162224
TNFRSF9	5.87135924254994	0.00105696303664653	2.55563	3.42599	-0.384917	-0.367293	-2.30322	-1.3232
HYAL2	-1.03878675642074	0.00118452743773311	-0.692927	-0.45442	0.438206	-0.887161	-1.12558	-0.881976
ASNS	3.08640525489161	1.2105453048071e-51	2.76051	3.03601	0.170005	1.18362	0.789888	1.63054
PTGS2	2.37723288592916	4.78671599135338e-07	3.15185	4.78919	-0.384917	1.63271	-1.12265	-0.0463625
SEMA3A	-1.69320277688175	0.126051259504318	1.57306	3.09562	0.10051	-1.10426	-2.48841	-2.14312
CXCL2	2.18965392060923	0.037423680076175	4.36346	5.57736	-0.384917	0.632707	-0.0401867	0.484152
PPP1R15A	4.12813706513979	7.42965322554523e-12	3.90569	5.77267	-0.990638	1.46278	3.0111	2.18808
TINF2	-1.07179465658984	0.000772042283111309	0.792645	1.19734	-0.480074	-0.0124506	-0.193433	-0.19392
PCK2	2.35353265287109	6.19770692092851e-17	3.83351	4.51019	-0.50782	0.59043	1.04669	0.32943
TRIB3	4.20315684153443	2.90354659157217e-45	3.6448	4.12479	-0.869759	1.85177	3.62942	1.87579
JAG1	2.20662128855286	9.87785313031086e-06	-0.563026	0.437044	0.290461	0.109145	-3.06482	-1.1526
CCNE1	-1.20978234878642	0.0769561686648964	-0.580371	-0.20336	1.28751	-0.0453652	0.1684	0.112183
ECM2	4.26911198053069	1.99434533331326e-09	3.67616	4.33524	0.615083	0.632707	0.111816	0.484152
UNC5B	2.23055350952207	0.303055143494693	2.18665	4.29428	-1.23682	3.10219	2.06787	1.29151
DKK1	-1.06352969156217	0.0192969295275805	-0.465409	-0.522947	-0.0805641	0.215039	0.0444757	-0.0350741
HSPA8	-1.8899030083581	1.23877176115313e-08	-3.47477	-3.25846	2.34646	1.18065	-0.810875	1.48554
NECTIN1	-1.20207603433359	2.19005348310258e-08	-0.601446	0.677483	-0.686986	-0.402483	-1.7015	-0.38784
CHPT1	-1.20942066515673	0.00297444512930299	-1.52809	-0.524197	0.0148864	-0.691984	-0.729486	-0.581139
RPS12	-1.23130943973483	3.70446694353429e-08	-1.12549	-0.992899	1.89242	0.734197	0.911396	0.470477
HBEGF	3.57316238347738	1.07414093797203e-07	0.958032	2.66391	1.03012	0.632707	-0.975092	0.0293571
CCNG1	-1.11249012438438	0.00179745293527342	-1.45478	-1.32735	0.329883	-0.776684	-2.22419	-0.685773
STC2	4.18766063657549	7.85982531822509e-59	3.98135	4.91439	0.54958	-0.243918	0.863993	1.14535
CBLB	2.4059420492301	0.0572640452747361	1.74997	2.3734	0.155652	0.381168	1.32736	0.832076
SLC1A4	3.3326136263358	0.00176242143121055	1.92232	2.21303	-0.0438797	0.743738	-0.429275	0.611702
RPL22	-1.12010736924168	0.0743970726065461	0.484584	-0.750924	0.728146	0.637924	0.782355	-0.0835322
IVNS1ABP	-1.31512538819227	0.000246343799035884	-2.20409	-2.38697	-0.589736	-1.04238	-2.59093	-0.911776
CTH	2.89577378445279	0.0304142219695142	3.3611	3.56424	0.0301209	-0.314826	1.60515	0.577262
KIF21B	3.65543674031265	0.0979866090843728	2.18685	2.68499	-1.38492	-0.952256	-1.62515	0.484152
CCNI	-1.28166388548793	1.86133679641466e-09	-2.60004	-3.18508	-0.0084427	-0.456022	0.696779	-0.167924
ITGB1BP1	-1.08407195379216	0.00235187651285946	-0.860277	-0.739055	-0.613186	0.235371	-0.380037	0.128008
B4GALT4	-1.17428795806543	0.67071044806385	0.855425	-1.06652	-0.337088	-1.30018	-1.67047	0.151577
ATF4	3.43363215472346	2.47623949829608e-38	4.00802	4.56114	-1.06299	1.01495	3.12812	0.249687
LIF	2.26163295293142	3.14341344298065e-06	0.86009	2.40598	-2.38492	-0.367293	-0.762653	-0.125901
CHAC1	7.45828321095053	4.80495114382979e-46	5.37247	5.61822	-0.956823	1.13021	2.41438	1.36868
CLN6	-1.15518296105285	0.103443090913797	0.191681	-0.636522	0.369971	0.290315	-0.908942	-0.730861
GDF15	3.15723560903276	2.58824143262887e-05	3.55724	4.27656	-0.951829	3.97772	1.07529	0.697983
