geneName	HEK293T.3h	HCT116.3h	Hela.3h	HEK293T.6h	HEK293.12h.CHX	HEK293.12h.noCHX	SUM159.12h	SUM159.0.2.24h
PRSS22	2.66071	-1.12589	0.613441	0.0528245	-1.65522	0.736526	-0.115414	0.331573
TMEM98	-0.792288	-1.20271	0.613441	0.0902992	-0.732262	0.01406	0.884586	0.746611
PNPLA4	0.186778	1.2485	-0.521209	0.0351225	-0.570053	0.414598	-1.11541	2.33157
TRAPPC6A	-0.242906	-1.23924	-0.29345	0.784628	0.624203	1.13988	1.88459	0.817
CPS1	0.22555	1.2597	0.338559	0.432856	0.451695	0.267041	-0.659735	-0.343753
SLC2A3	0.113222	2.02611	-0.1484	0.126825	0.666707	1.73653	-0.297781	0.118354
KCNQ2	0.242789	-1.04428	-0.386559	-1.44598	-1.69786	-1.51981	1.58503	1.13893
RASAL2	0.0777437	1.33037	0.44863	0.0153498	-0.0213485	0.388603	0.0475601	0.260082
SLC27A5	-0.019601	-1.15642	0.299941	-0.084679	-1.03631	-1.39276	0.724121	1.04943
ZNF416	0.660709	2.51154	1.25087	0.39796	1.80421	-0.0410816	-0.115414	1.07881
PPP1R15A	1.16819	1.74998	2.81033	2.1468	0.9234	2.01663	-1.21163	3.0344
PPP2R3C	0.595066	-1.04789	0.0284782	0.336131	0.120883	0.456418	-0.245049	0.320258
GADD45B	-0.824717	1.11922	1.76652	-0.449676	-1.31127	-0.263474	-0.867595	0.902015
CCNB1IP1	0.608948	1.4747	1.18535	0.360947	0.834883	0.6859	0.319523	3.22054
FZD3	0.432842	1.24671	0.0284782	0.476475	-0.0836786	-0.0790494	-0.421122	0.971073
RAB3D	-0.457685	-1.11026	-0.987463	-0.625247	-1.51639	-0.848436	0.330386	-1.57221
PLPPR2	-0.661219	-1.1538	-0.529517	-0.532138	-1.46258	-0.848436	-0.316111	-0.687286
KDM4C	0.52429	1.28914	0.259804	0.217569	0.785352	0.284014	0.0289758	0.841673
BAG1	0.0727255	-1.24137	-0.325965	-0.0606335	-1.18772	-0.704047	0.295218	2.22195
MAPK8	0.249395	-1.1595	-0.132376	0.17983	0.369958	0.151564	0.0101168	-0.220968
CHIC2	0.540415	1.44961	-0.0173255	0.109408	0.567172	0.270862	0.0492166	0.48199
CAP2	0.311611	1.81966	-0.0698869	0.227155	0.755712	1.29292	-0.030977	-0.849262
PEX7	0.261482	1.18223	-0.0204314	0.501955	0.680602	0.427198	0.329725	0.314086
CLCN2	-0.525387	-1.07343	-0.253293	0.0143504	0.0552728	0.736526	-0.0604476	0.413257
RPS25	-1.73302	-1.05949	-0.560242	-1.38377	-1.27256	-1.42211	-0.114043	0.814941
PHF19	-0.760327	-1.09146	-0.225943	-0.385297	-0.75119	-0.128544	0.336132	-0.812082
MLH3	0.895175	1.67617	-0.164167	0.0528245	1.5147	2.32149	0.302651	0.67516
SLF2	0.381519	1.22444	0.535438	0.297937	-0.429928	-0.438561	0.66432	1.35688
TNFSF18	0.660709	1.17367	0.613441	-1.53214	-1.65522	0.736526	-1.11541	-0.668427
EGR1	-0.735219	1.30073	2.52324	-0.584605	-2.33329	-0.000439573	-3.66004	-3.54563
SORBS3	-0.147312	-1.02051	-0.118748	0.13608	-1.34059	0.391391	0.483159	-0.90571
OBSL1	-0.455374	-1.1889	-0.0646312	-0.460585	0.0882878	-0.385465	-0.13697	-1.53984
MIF4GD	0.0673346	-1.07343	-0.299096	0.315859	0.310832	0.736526	0.624827	0.826338
PPDPF	-0.559298	-1.0971	-0.837221	-0.443409	-1.68951	-0.765974	0.832803	0.634886
RIBC2	0.189819	2.02611	0.595953	0.178355	0.567172	0.621049	0.408148	0.541027
DOHH	-0.811967	-1.06449	0.306779	-0.499717	-0.452281	-0.442798	0.155356	1.65164
SAT1	1.68404	1.58554	0.968536	1.37475	1.01406	1.32149	0.24987	2.84125
SLC27A1	-0.661219	-1.1538	0.291513	0.583339	-0.195789	0.321489	0.408148	-1.08346
MRPL34	-1.44189	-1.1996	-0.763717	-0.662337	-1.22591	-0.687972	0.554579	0.597909
LPIN1	0.00863269	1.40462	0.636524	-0.0888366	1.3782	1.05845	-0.097888	-1.10717
RTL8C	0.343801	-1.05832	-0.227423	-0.645968	-1.15392	-0.839666	0.11346	-0.553268
KLHL36	0.240258	-1.07343	1.08293	-0.188184	-0.811622	0.442795	0.469548	-0.147595
ZNF189	0.527684	1.67819	0.434471	0.363754	0.197938	0.93816	-0.00849888	0.464024
GCHFR	0.705797	3.16361	-0.458968	-0.195103	-1.22896	-0.181012	0.340265	0.661722
LLPH	0.707673	1.30752	-0.255315	-0.147474	-2.57379	-1.26347	0.09609	-0.00946362
SUOX	-0.701861	-1.11139	-0.464562	-0.228357	0.246599	-0.36301	-0.440814	-2.2814
ZSCAN29	-0.378461	-1.03278	-0.109025	0.295681	0.773623	0.340597	0.333893	0.697223
TAF4B	0.709208	1.13302	0.13951	0.820164	0.557773	-0.0806099	-0.140076	1.40313
FEM1A	-0.730451	-1.09229	-0.65404	-0.609542	-1.18404	-0.757013	0.0254484	0.447051
JTB	-1.13712	-1.23225	-0.879328	-0.58728	-0.647879	-0.577134	0.190689	0.872142
SNRPG	0.193013	1.28914	-0.934047	-0.0162171	0.195203	0.119855	0.621552	1.41404
ALAD	-0.257379	-1.20271	-0.204356	0.305943	0.659821	-0.370389	0.456002	-0.577004
MSRB2	-0.424311	-1.14382	-0.533401	-0.698148	-0.0768609	-0.130207	0.286203	0.25851
PRSS23	-0.0485813	-1.21336	-0.315691	-0.590241	-1.08902	-0.659403	-0.0259358	-1.71943
MZT2B	-0.756969	-1.16806	-0.121128	-0.224239	-0.709585	-0.410066	0.652578	1.05805
GGPS1	0.572052	2.08269	0.783366	1.23116	1.59271	0.227512	0.0407051	-0.338278
DGKE	0.194688	1.87411	0.122454	-0.257031	0.966268	-0.552981	-0.455839	0.134985
PSMG3	-0.495692	-1.23924	-0.370792	0.15236	-0.351828	-0.135466	0.247156	1.65107
IGF2BP1	0.0595325	2.28914	0.0732316	-0.148755	0.690554	0.0342066	1.29962	0.746611
ANKLE1	0.245672	1.84168	0.226418	-0.362213	-0.0702581	0.736526	-0.115414	0.331573
RPL26	-2.69446	-1.0219	-1.34867	-1.75813	-1.35382	-1.4428	-0.357337	0.245726
ATF3	2.33047	1.37737	1.24708	1.65362	1.52342	1.63923	-1.99411	-0.681138
TTC14	0.354932	1.17131	0.478089	0.0528245	1.16732	0.603259	-1.0022	-1.02261
CEP44	0.141649	1.55218	0.513039	0.285659	1.36397	0.0844493	-0.182217	-1.03006
PRMT9	0.229098	1.70418	0.34798	-0.153626	0.358585	-0.345936	0.106978	0.201805
NDUFB8	-1.24419	-1.18216	-0.220549	-0.829819	-1.96188	-1.66202	0.714661	1.13127
MYRFL	1.92374	4.22774	2.27641	0.0528245	-0.655221	1.73653	-1.11541	0.916536
RPL27A	-2.27355	-1.08026	-0.767	-1.07411	-1.31741	-1.77592	-0.157092	0.555001
HSPBAP1	0.146136	1.2485	0.415501	-0.172735	1.07658	0.0584541	0.263098	0.916536
ATF5	1.58916	1.28914	1.83583	0.667534	0.0452191	1.22195	0.884586	2.33157
CXCL8	0.660709	2.40462	2.05401	1.05282	-0.655221	0.736526	-1.90951	-0.82865
BBLN	0.940092	-1.18034	-0.634487	-0.532138	-1.92966	-0.12597	0.440979	0.829073
SNCG	-1.07626	-1.17553	-0.428228	-2.75453	-3.39219	-0.585402	-0.404921	-3.12786
DDIT3	3.54172	2.37094	4.56764	3.95972	3.36715	4.17393	0.0629232	2.50571
CCDC85B	-1.13716	-1.06552	0.0133713	-0.532138	-1.38693	-0.626044	0.81721	1.01375
SELENOW	0.397675	-1.19852	0.13951	0.415395	1.43224	-1.4334	0.884586	2.03939
ABCA13	0.679818	1.33645	0.13951	-0.362213	-0.485296	2.73653	-0.542835	-1.7059
ZNF678	0.280181	1.96722	-0.234556	0.168302	0.435166	0.385054	-0.655982	1.11293
RPS17	1.86234	1.87411	2.73897	-0.532138	-0.195789	0.736526	-1.11541	-0.668427
C11orf54	0.56585	1.22501	0.558993	0.163856	2.7371	0.221953	0.180042	-0.220968
HMGN4	-0.254962	-1.08432	-0.664544	-0.103901	-1.03373	-0.0570231	-0.115414	-0.228385
SUMO3	-0.668577	-1.15642	-0.88597	-0.534132	-1.07026	-1.19308	0.411289	-0.382732
SIVA1	-1.23048	-1.00386	-0.54824	-0.392413	-0.89304	-0.666726	0.458053	0.385512
UBOX5	-0.40968	-1.00631	0.613441	0.0528245	1.0961	-0.263474	0.104552	-0.270463
IFITM2	-0.563851	-1.05443	-0.0408698	-0.412839	-1.9522	-2.26347	0.307347	0.466661
ZNF17	0.640245	2.40462	0.613441	-0.329046	0.262317	-0.111471	-0.308059	0.791005
C15orf61	0.129296	-1.16255	-0.28563	0.127787	0.354627	0.538587	0.407007	1.20127
PNRC2	0.82356	1.22355	0.0495398	0.878795	-0.213216	0.736526	0.721087	1.22466
SDHAF3	0.182056	-1.00364	-0.0880358	-0.196789	-0.483709	0.015242	0.3411	1.27017
COL27A1	0.371203	2.28914	0.806086	-0.216362	0.207276	-0.400978	-0.157234	0.524218
KIF13B	0.330862	1.10857	0.0284782	0.000357086	0.514704	-0.170365	0.01517	-0.03861
ZNF84	0.497859	1.25672	0.684699	0.559784	0.830206	1.79097	0.129005	1.74383
SOWAHC	-0.643625	-1.03278	-0.37362	-0.347713	-1.2629	-1.40098	-0.761777	-0.987495
ETFRF1	0.240654	2.28914	0.164456	0.991424	-0.517717	-0.378951	-0.0940404	0.435409
TRAJ4	2.44921	1.89683	-0.971522	-0.947175	-0.0702581	-0.263474	-2.11541	-1.08346
RPS29	-1.86878	-1.172	-0.77836	-1.03635	-1.94449	-0.945298	0.324189	0.858859
BBIP1	-0.831995	-1.21009	-0.534313	0.249222	0.592707	-0.111471	0.400984	0.76926
MCRIP1	-0.262705	-1.05938	-0.0274782	-0.327599	-0.940281	-0.129457	0.327934	0.787802
ZNF2	-0.151024	1.87411	0.876475	0.200923	0.988636	1.03609	1.071	1.14602
DHRS11	-0.176561	-1.22182	-0.781419	0.471429	0.187423	0.0319819	0.355892	0.530353
RPUSD1	-1.0048	-0.265446	-0.480535	-0.694409	-1.83095	-1.47158	0.359495	0.557455
STAB1	3.32367	1.28914	0.613441	0.0528245	-1.65522	-0.263474	-0.115414	0.331573
SYT7	-1.06014	0.0761495	0.443516	0.959715	-1.15772	-1.5854	0.0545109	0.791005
SLC6A16	3.12014	-0.295819	0.613441	0.467862	-0.485296	0.151564	-0.115414	0.331573
PYGM	3.46806	0.704181	-0.386559	-1.53214	-1.07026	-0.263474	-1.70038	-1.25339
ATP2A3	-1.02735	-0.234419	0.125647	-0.976923	0.152134	0.277094	0.469548	0.916536
SEPHS1	-1.01041	-0.447822	-0.101402	-0.290279	-0.297669	-0.807794	0.354569	-0.849596
HBQ1	-1.05918	-0.295819	-0.971522	0.637787	-1.82515	-1.00044	-0.115414	0.331573
CABP7	3.66071	-0.295819	0.613441	-0.947175	-1.07026	0.736526	-0.115414	0.331573
ASB2	2.83063	-0.295819	1.61344	2.05282	0.344779	2.32149	-0.115414	0.331573
TELO2	-1.02133	-0.071113	-0.132584	-0.302564	0.0190092	0.151564	0.0011486	-0.654379
COL20A1	3.12014	-0.295819	0.613441	1.05282	-2.24018	1.32149	-1.11541	-0.668427
CCM2L	3.5676	0.289143	1.61344	0.0528245	-0.195789	3.01663	-1.11541	-1.66843
CACNA1F	4.24567	-0.295819	0.613441	0.0528245	-1.65522	0.736526	-0.115414	1.33157
CD33	3.98264	0.441146	-0.386559	0.0528245	1.5147	0.736526	-0.182051	0.442419
CLEC11A	-1.04501	-0.710857	0.613441	0.0258575	-0.718786	-0.497939	0.714661	1.33157
KLF1	2.66071	-0.295819	0.613441	0.0528245	-1.24018	0.736526	0.884586	0.331573
CUBN	3.46806	-0.295819	-0.386559	0.0528245	-0.0702581	0.736526	1.00006	1.06854
RPS15	-1.00018	-0.255249	-0.506854	-0.53195	-1.42016	-1.33483	0.561107	0.616141
PROC	3.87016	0.704181	0.261139	0.0528245	-1.65522	-0.263474	1.46955	2.13893
TRIM62	-1.03263	-0.0893684	-0.871986	-0.617027	-1.09132	-1.32237	0.370013	-0.611843
CRYGD	-1.01306	-0.295819	0.613441	-0.309746	-0.807224	-0.678511	-0.115414	0.331573
CCND2	-1.04416	-0.295819	0.613441	1.13083	1.5147	0.678811	-0.115414	3.13893
FLVCR2	-1.05918	0.119218	0.350406	0.332932	-1.00314	-2.4334	-0.300998	-0.385241
FKBP1B	-1.05033	0.289143	1.61344	-0.568664	-0.693695	-1.96391	0.14762	-1.99035
FAM124B	2.83063	-0.295819	0.613441	1.46786	-1.65522	0.736526	-0.115414	0.331573
