geneName	HEK293_2h	HMECs_1h	HMECs_24h	MCF10A_2h	M231_1h	SUM159PT_1h	SUM159PT_24h
AOC1	0.393407338519034	5.38175	1.82864	0.236744	-0.49175	-0.371342	-0.0867515
CX3CL1	NA	-1.08891	1.27684	0.236744	-1.25074	-0.371342	-1.08675
COL9A2	NA	1.19985	1.10617	0.236744	-0.152561	1.62866	-1.08675
FSTL4	NA	1.18535	1.29098	0.236744	-1.25074	0.213621	0.498211
ATP9A	0.321033250384386	2.66686	0.243678	-0.384745	-0.400489	-0.0236298	0.332345
FGFR3	0.92200153493697	1.61489	2.45667	0.406669	-0.326691	-0.584746	-3.82372
ADAM11	0.342044309783652	5.53563	0.895754	-1.34822	0.382201	1.50313	-1.08675
PTGS2	NA	-1.47	-1.68103	-0.203829	-0.188006	-0.486819	-0.0323037
PPP2R2C	0.930090315874488	4.86092	3.24368	0.236744	-0.186611	1.79858	-1.08675
RFX3	0.554826511346671	-1.11195	0.0481267	0.154281	-0.250742	-1.10831	-0.238755
CXCL2	NA	-1.66264	-0.640845	-0.415333	0.334221	-2.43024	-1.08675
LHX5	NA	-2.12207	-0.408399	0.236744	-0.250742	0.213621	-0.501789
TGM1	NA	1.2083	1.7075	-1.93318	-0.0417949	-1.11699	-0.416582
PDE6C	NA	5.09225	3.05103	0.236744	0.0122926	1.79858	-0.501789
CDHR5	NA	1.2537	1.90771	1.23674	-1.53821	1.97644	-0.314911
C14orf93	NA	-1.02521	-0.987648	-0.232742	-0.0701695	-0.0220077	0.239124
SPEF1	NA	2.7524	2.24368	0.236744	0.971651	1.79858	3.66814
SNPH	NA	1.17386	0.243678	-0.325135	-0.57267	0.798583	-0.501789
ZNF14	0.513002170129671	-1.01628	-0.23549	-1.15557	0.169476	-0.355222	0.666334
DNAH11	0.953913449357421	3.39625	0.658715	1.02524	-0.0325616	-0.226952	-0.579792
MAP3K8	0.482537108456741	2.21183	3.11815	0.52625	0.816372	-0.075886	0.94567
CSF3	NA	-1.53711	-1.34128	0.00507337	-1.36295	-1.07178	0.913248
FOLR1	NA	2.33736	0.82864	2.55867	-0.928814	4.30108	-1.08675
VEGFA	0.597621538920754	-1.04949	-0.800861	-1.77429	-0.436893	-1.31076	-0.613472
HBEGF	NA	-1.3378	-1.4084	-3.66448	-0.210195	1.0437	-0.349786
IL1A	NA	-1.44471	-0.999651	-1.49118	-0.309635	-2.29253	-0.543996
GPX7	NA	2.33736	0.82864	0.236744	0.0122926	0.213621	-0.501789
RGS2	0.486421309389798	1.17386	1.09929	-4.05604	0.289827	-3.85963	0.087927
MYB	0.289707091293494	2.69491	3.37296	-0.178294	-0.250742	1.45463	0.623742
DUSP1	0.991843537820246	-1.03001	-0.375232	-1.07191	-1.52149	-2.88154	-0.47811
EGR1	0.753794618771245	-2.49748	1.27255	1.23674	0.444404	0.789813	0.716851
EGR2	NA	2.10289	2.87595	-0.232742	0.808152	3.37328	-2.05638
IL1B	NA	-1.16881	-1.58114	-1.82739	0.42733	0.728194	0.275819
ID1	0.152364234497714	-1.29712	-1.13351	-3.29885	-0.284982	-1.65987	-3.13759
ZFP36	NA	-1.13815	0.125236	-0.154943	-0.658827	-0.0169923	-0.361308
CHAC1	NA	-1.16514	0.133495	1.59931	-0.386397	-2.5466	-0.998976
GDF15	NA	-1.1797	0.799375	2.22586	-0.937954	-2.11274	-1.27309
NPAS1	0.532774114311198	2.33736	3.70311	-0.348219	-0.498669	1.57619	0.860781
KANK4	NA	1.17386	-0.393752	1.55867	-1.25074	1.21362	1.49821
CD101	0.764732431291222	1.39625	-0.341285	-0.500222	0.749258	2.08809	-0.0867515
SPRY2	0.752269742268311	-1.04115	-0.446193	1.22195	-0.240792	-1.01904	0.498211
IER3	0.953990136183021	-1.81465	-1.13339	1.18075	-0.633113	1.38947	-1.25668
DUSP5	NA	-1.10674	-0.611737	-1.12583	-0.411767	1.31859	0.442716
PHLDA1	0.784825100729196	-1.10132	-0.988546	-0.378372	-0.410755	-0.456231	-1.04611
DUSP6	NA	-1.56941	-0.565567	-0.877161	-0.196558	-0.981395	-0.216812
PDX1	NA	1.92232	2.7291	0.236744	1.74926	0.213621	-0.501789
ITGB7	0.911249142707544	2.33736	1.09167	0.236744	-1.25074	1.95059	-1.08675
RHOF	0.637055436081199	2.24425	0.565606	-0.710014	-0.0908705	2.62866	1.7206
CHST4	NA	-2.2476	-2.34128	0.236744	0.334221	1.21362	0.498211
MALL	NA	-1.1545	-0.118893	-1.76326	1.74926	1.21362	0.498211
TAGLN3	NA	-1.31472	-1.51531	0.236744	1.33422	0.213621	-0.501789
CLTRN	NA	3.33736	1.82864	-1.34822	0.164296	-0.371342	-1.08675
STAR	NA	-2.32561	-0.834325	0.236744	-0.250742	-0.108308	-0.0867515
IMMP1L	0.95051051621586	-1.2476	0.012352	0.236744	0.373749	-1.5143	-0.185315
ZFP36L2	0.944647251302722	-1.36001	0.018962	-0.640025	-0.218501	-0.743508	0.921593
CPB1	NA	2.81541	2.24368	0.236744	0.0971815	1.00417	-0.251811
KRTCAP3	NA	1.29155	0.413603	0.236744	-0.172739	2.43601	0.498211
SYCE2	NA	-3.2476	0.359155	-0.763256	-0.72718	1.53555	-0.179861
ATF3	0.488606674790392	1.83486	0.478143	0.0491166	-0.045922	-1.33892	-1.07858
ACTG2	NA	1.38798	1.79387	-2.67015	0.0394442	0.535549	-2.50179
LYSMD1	0.593914479249447	-1.10321	-0.30381	0.298144	-0.770116	-1.04014	0.00344628
IL17RC	NA	1.8646	3.24368	0.329853	0.334221	0.213621	1.08317
SPDYA	NA	3.33736	1.24368	0.236744	3.07119	1.21362	-0.501789
ZC3H12A	0.746893185184622	-1.03936	0.225644	0.236744	-0.0960192	0.644255	0.684307
AK8	NA	-2.07768	0.491605	0.236744	0.223189	2.62866	1.49821
DDIT4	0.94731123828093	-1.33659	-0.431961	0.508634	-1.22399	-4.90321	-0.80046
CXCL8	NA	-1.05259	-1.30381	-1.09365	-1.71017	-2.10831	1.17628
FOS	NA	-2.488	-0.991446	0.612892	0.416683	1.69905	0.498211
BCL2	NA	3.17866	-0.341285	0.821706	-0.686841	0.525565	-0.35977
CEP19	0.795146574396928	-2.12207	-0.893826	-0.348219	-0.643059	-0.593734	1.01278
ZNF404	NA	2.33736	1.82864	0.236744	0.526866	2.21362	2.08317
HIC1	0.641158136842104	2.65929	0.658715	-0.763256	0.0971815	0.728194	-2.30914
SPINK6	NA	-2.2476	-0.253822	-0.763256	-0.250742	-0.371342	-1.08675
RBM11	0.932545900026643	2.14471	0.565606	-1.76326	0.886762	0.798583	-0.501789
ZFP36L1	0.408229434032333	-1.60169	-0.495094	-1.26993	-0.453677	-1.96654	-0.796782
EDARADD	0.307107212986914	-1.06318	-0.374452	-1.76326	-1.25074	2.62866	2.08317
FOXD2	NA	1.77793	1.13676	1.49978	-1.16501	1.21362	-0.309144
FOXE3	0.455515285311759	2.33736	4.9161	-0.348219	0.164296	2.02098	1.30557
TMEM17	0.712107478167329	1.28077	0.450128	-0.528791	-0.951182	0.213621	1.08317
SPRY4	NA	-1.1862	-1.25014	-1.53525	-0.48702	-0.642644	-0.02621
OVCH1	NA	3.14471	0.82864	1.23674	-0.250742	1.21362	-0.419327
CFAP119	0.987969379745904	1.33736	0.46607	0.137208	-0.346957	1.68311	0.257203
ZNF471	NA	-3.12207	-1.21575	0.236744	-0.835704	2.21362	1.49821
DLGAP2	NA	3.50728	2.56561	0.236744	-1.25074	0.213621	-0.501789
MT1F	NA	1.5353	0.741177	0.236744	0.486224	-0.371342	-0.0867515
KCNRG	NA	2.33736	1.56561	0.236744	1.1029	1.21362	0.761245
RYR3	0.712107478167329	1.92232	1.82864	0.236744	0.919183	-0.786379	1.95764
VWA7	NA	-2.2476	0.243678	-0.985649	-0.987707	1.95059	0.498211
GARIN1A	NA	1.83986	-0.0193569	1.82171	-0.710173	4.21362	1.23518
SERPINB4	NA	-2.36308	-0.134834	-0.763256	-0.250742	0.213621	-0.501789
TSSK1B	NA	1.97479	0.658715	-0.763256	-0.250742	2.62866	2.37268
SKOR2	NA	2.92232	1.82864	0.236744	0.334221	-0.371342	-0.0867515
XKR9	NA	-1.21013	0.205203	0.236744	0.000796977	0.476655	-0.0163622
AJM1	NA	2.33736	2.56561	0.651781	-0.00281428	2.53555	1.95764
PSMB9	NA	-1.49272	0.101659	-0.178294	-0.918166	-0.580131	-0.548083
PCDHGC5	NA	3.0378	1.82864	0.0143512	0.749258	0.535549	-0.179861
SLC10A5	NA	2.21183	1.24368	0.236744	1.25176	-0.64436	0.395117
THTPA	0.70305987265349	-1.45114	-0.480688	0.236744	-0.350277	0.468193	0.498211
GPRC5A	NA	0.306913	-1.09001	-0.92365	0.181584	3.08809	0.498211
VIM	0.31704620668319	0.0876157	-1.1034	-2.31147	0.0871659	1.28715	-0.450896
RASSF1	0.954362492883733	0.567027	-1.00665	0.196102	0.0987499	-0.160354	-0.696058
IZUMO4	NA	-0.0252122	-1.11889	0.236744	-0.250742	1.36562	1.7206
SLC32A1	NA	1.92232	7.30977	0.236744	0.164296	-0.430236	1.49821
NOL4	0.533452139233145	0.337358	8.05103	0.236744	2.39311	6.3429	-0.501789
RPS19	0.745840424124876	-0.0425742	-1.04489	-1.51704	0.548213	-0.204722	-0.719649
RPL18A	0.316330373977403	-0.100763	-1.01936	-1.14573	0.0580109	0.230899	-1.35327
EVX1	NA	1.33736	4.05103	0.236744	-0.250742	2.53555	-1.50179
SORCS1	NA	0.337358	3.24368	0.236744	-0.250742	0.213621	-0.501789
SMURF2	0.845332591631089	-0.534931	-1.08087	-0.45925	-0.16222	-0.858329	0.367709
FAM149A	0.623091050694929	-0.247605	4.49161	0.236744	0.296746	1.53555	-0.501789
ZBTB16	NA	0.489361	3.54949	0.208729	-1.10872	-0.948602	0.0261093
SH2B3	0.820254175030432	-0.399608	-1.07825	-2.38775	-0.740793	-0.309941	-0.777423
PCDHB3	0.879414973162555	1.33736	3.90664	-0.763256	0.749258	0.950586	-0.501789
GNAT1	NA	0.659286	6.79057	0.236744	4.2157	8.76821	1.49821
ROPN1B	NA	1.33736	3.24368	0.236744	0.749258	1.21362	1.49821
APC2	0.950390259352253	1.65929	3.56561	-1.08518	-0.665779	0.365624	-1.08675
DNAH6	NA	3.14471	3.4136	1.23674	0.164296	0.213621	-0.331864
CHST10	0.705175858530053	-0.215183	-1.04583	-0.680794	0.214639	3.21362	0.498211
CHD5	NA	2.07432	3.70311	0.236744	-0.665779	-0.660849	0.208704
MAN1C1	NA	-0.510639	4.34988	-0.325782	-1.16328	-0.923883	-1.37626
POLR1G	0.587889258148102	-0.112675	-1.11889	-1.86829	-0.00304369	0.444152	0.130018
SLC46A2	NA	0.337358	3.24368	0.236744	0.749258	1.21362	0.498211
LRAT	NA	-0.101286	-1.06213	-0.0262908	-0.250742	1.21362	0.498211
HS3ST2	0.947564872682115	0.269186	-1.07825	0.236744	0.749258	0.213621	-0.501789
P4HA1	0.924328500080292	0.165334	-1.11889	-0.258367	-0.0848683	-0.0259342	0.346563
TNFAIP6	NA	1.33736	3.24368	0.629061	-0.250742	0.576191	-0.501789
HMGB1P1	NA	1.92232	3.4136	0.236744	-0.835704	1.21362	1.82014
SLC12A5	NA	2.33736	3.70311	0.236744	0.334221	-0.108308	0.176283
NKX2-2	0.99343750379405	2.92232	4.15057	0.236744	1.74926	0.628658	0.235177
TAS2R4	NA	1.33736	3.24368	0.236744	-1.8357	-2.37134	-0.501789
PPAT	0.484369197502695	-0.238571	-1.02662	-0.635706	0.146958	-0.868985	0.0378667
BBOX1	NA	0.699928	3.24368	0.236744	0.749258	1.21362	0.498211
TOE1	0.893369501153611	0.473495	-1.01936	-1.52879	0.184924	-0.0652388	-0.582709
LOXL2	NA	0.00914001	-1.08048	-0.135495	-0.0172699	1.09468	-0.60578
ETS1	NA	0.0541103	-1.07238	-2.11639	0.01739	-0.753531	0.0411818
DTX1	NA	1.33736	3.4136	0.236744	1.33422	1.21362	1.49821
RDH5	NA	3.14471	3.24368	1.23674	0.0971815	2.0437	-0.671714
B4GALNT1	NA	-0.531398	-1.06118	0.583194	-0.522044	0.83253	0.117121
