gene_name	Fold Change Protein Abundance, 24hrs: Log2(-SG/+SG)	Fold Change Protein Abundance, 48hrs: Log2(-SG/+SG)	Z-Score
MDC1	-0.138120756	0.255220648	5.429219658
CDSN	0.312699126	-0.649837219	4.1470335
GOLGB1	-0.148125829	-0.252620368	4.032130088
NOP2	-0.097424586	0.163110822	3.579824036
SRRM2	-0.16489295	-0.201556653	3.469534228
DNAH9	-0.138741413	-0.11408451	3.407928186
STXBP1	-0.144327084	-0.195086307	3.26310036
AHNAK2	0.081245338	-0.228195183	3.258633297
KRT75	0.055987061	0.024583951	3.257281591
KIF3C	0.007767727	-0.040037813	3.196697754
SLC35A2	-0.063336474	-0.241546369	3.183518211
LRRC8C	-0.052859457	0.095678577	3.169850444
PKP2	-0.102582553	-0.058396152	3.152612947
KRT1	0.133142218	-0.453740305	3.120761874
ATP7B	-0.333336574	-0.377038613	3.098165398
PPIF	0.013123235	0.096456094	3.059034538
UBC	-0.096737496	0.12364648	3.059034538
KRT16	0.036031621	-0.343921184	3.041115106
HSPA5	-0.465756998	-1.273486703	3.018360481
MAST4	0.021808721	-0.070919909	3.012542266
R3HDM2	0.04267615	-0.294892705	3.0034371
TATDN2	-0.24637947	-0.295042541	3.000237761
NOC4L	0.01947251	0.457378294	2.884085421
TAPBPL	-0.047413515	0.042594047	2.84969876
KRT18	0.02006546	0.019101472	2.844144102
MAML1	-0.33858221	-0.149371074	2.836568298
CYFIP2	0.086238213	-0.019851847	2.815071954
PLXNB2	-0.143071091	-0.11892956	2.811499701
KRT3	-0.144442533	-0.525507083	2.794628771
KRT8	0.090874092	0.049770318	2.794628771
DDX11	-0.101032528	0.056913815	2.794628771
NAGLU	0.184483161	0.475111253	2.761929646
SMG7	-0.03909371	-0.282271615	2.760633917
ABCB8	0.009497663	0.109988936	2.758203988
SH3TC2	0.110521264	0.026477925	2.757181816
ZNF629	-0.230975501	-0.171579894	2.734906733
SPTBN1	-0.107140675	-0.335535527	2.719045568
KRT2	0.609340196	-0.352673584	2.714610259
KRT5	0.074224967	-0.60921372	2.708513359
EXOC7	0.066850975	0.051694958	2.708513359
NXF1	-0.069798411	0.145036122	2.67416936
DPYSL2	-0.06002672	-0.341650543	2.671704773
FAM160B2	0.061792781	-0.117896239	2.671704773
KIF13B	-0.156849584	-0.597223836	2.666125252
ACTB	0.043633412	-0.091479238	2.659263973
NDUFAF1	-0.068764241	-0.002941275	2.659263973
MYD88	-0.025213836	-0.087540867	2.599679467
DGUOK	0.087018606	0.101081465	2.599679467
DEPDC5	-0.022794146	-0.181785852	2.5949812
COL1A1	0.341549554	0.531598779	2.58817205
GRPR	-0.003059688	0.261237405	2.578824018
ACACA	0.038851246	-0.217857826	2.567522297
SNRNP27	0.014477838	0.084933607	2.562187649
PIGU	-0.043684591	0.298836251	2.562187649
SPEN	-0.395164449	-0.222665911	2.549068759
MYO10	-0.695343911	-0.831807294	2.546576363
CTSA	-0.210000001	-0.017947386	2.529515503
CDH1	-0.359123554	-0.562484622	2.500086174
ZNF768	-0.161994196	0.015411161	2.500086174
TRPT1	-0.150411829	-0.404090921	2.497691242
DESI1	0.031205488	0.141902554	2.497691242
STARD9	0.0166562	-0.043704038	2.486120202
INPP5D	-0.075389345	-0.293105176	2.484497449
OPHN1	-0.060940879	0.055065549	2.484083014
UPF2	0.038519269	-0.158691042	2.48327287
OAT	-0.527530143	-0.143400548	2.461595975
H2AFY	-0.12192653	0.356387675	2.461595975
BCL9	0.013009499	-0.130921977	2.451130586
KRT6A	0.013474104	-0.320835169	2.436297159
MLLT6	-0.019486853	0.069475294	2.424789663
SPNS1	-0.059402637	0.069581885	2.396694775
MARK2	-0.066059338	0.016168542	2.392953252
EFR3A	-0.186275054	0.048345293	2.392953252
WRAP53	-0.214566076	0.118070831	2.392953252
YWHAH	0.150443135	-0.182465429	2.391357302
PAQR7	-0.182603661	0.190383829	2.391357302
RPL3	0.267685838	0.193795531	2.391357302
TMEM104	-0.073459118	-0.121899207	2.384153265
RRAGB	0.09071387	0.133710203	2.384153265
KRT17	0.302690912	0.234293814	2.384153265
GTPBP4	0.103148546	0.557058578	2.384153265
SERPINF2	0.819393328	0.852424736	2.384153265
PDE4DIP	-0.22239514	-0.668884516	2.369122762
GPRC5A	-0.086683223	-0.056793632	2.357099714
ALG3	-0.072434014	0.087509894	2.357099714
C2CD2L	0.114541571	0.083169231	2.33693728
MTOR	0.07948547	-0.165465633	2.333272004
ARHGEF16	-0.09124197	-0.306877422	2.317078203
KRT14	0.108735657	-0.267872033	2.317078203
ITPKC	0.067401763	-0.233411984	2.317078203
