AccessionNumber	SRRID	SampleDesc	SampleID	TotalReads	15nt-45nt	rRNA contamination	Non-rRNA reads	Unique Mapped reads	MappingToExon
GSE112643	SRR6932676	HEK293-Ctrl-CHX	GSE112643_SRR6932676_HEK293-Ctrl-CHX	43514524	42176184	21230759	17655598	3756944	3249215
GSE112643	SRR6932677	HEK293-Ctrl-noCHX	GSE112643_SRR6932677_HEK293-Ctrl-noCHX	34892568	34880599	1223913	33091978	3465922	2310461
GSE112643	SRR6932678	HEK293-Arg-12h-CHX	GSE112643_SRR6932678_HEK293-Arg-12h-CHX	59043500	55328630	19454219	27773724	8986317	7304693
GSE112643	SRR6932679	HEK293-Arg-12h-noCHX	GSE112643_SRR6932679_HEK293-Arg-12h-noCHX	35933253	35872432	1114822	34145118	2865592	1406804
GSE112643	SRR6932680	HEK293-Leu-12h-CHX	GSE112643_SRR6932680_HEK293-Leu-12h-CHX	63120867	60748888	29005260	25647681	9388148	7982091
GSE112643	SRR6932681	HEK293-Leu-12h-noCHX	GSE112643_SRR6932681_HEK293-Leu-12h-noCHX	32255139	32227548	1319922	30331798	2673381	1264066
GSE112643	SRR6932682	HEK293-Met-12h-CHX	GSE112643_SRR6932682_HEK293-Met-12h-CHX	52317583	49432015	19971988	24578118	1400513	1008521
GSE112643	SRR6932683	HEK293-Met-12h-noCHX	GSE112643_SRR6932683_HEK293-Met-12h-noCHX	33246091	33234167	1006535	31731942	1993670	1092406
GSE113751	SRR7073121	HEK293T-Arg-3h	GSE113751_SRR7073121_HEK293T-Arg-3h	33762928	32212847	6190695	25604582	10090809	8095028
GSE113751	SRR7073123	HEK293T-Leu-3h	GSE113751_SRR7073123_HEK293T-Leu-3h	36114173	34521137	5692763	28367356	14456574	12510190
GSE113751	SRR7073124	HEK293T-Rich-3h	GSE113751_SRR7073124_HEK293T-Rich-3h	61476118	59489783	8571455	50167026	23587272	20214349
GSE113751	SRR7073125	HCT116-Arg-3h	GSE113751_SRR7073125_HCT116-Arg-3h	15379800	15003403	3819382	11090341	3635220	3061352
GSE113751	SRR7073126	HCT116-Leu-3h	GSE113751_SRR7073126_HCT116-Leu-3h	17710723	17105277	4839750	12156463	3622715	2923853
GSE113751	SRR7073127	HCT116-Rich-3h	GSE113751_SRR7073127_HCT116-Rich-3h	16373758	16142508	4749198	11300826	3083801	2415827
GSE113751	SRR7073128	Hela-Arg-3h	GSE113751_SRR7073128_Hela-Arg-3h	24052572	23880869	6122762	17417935	7160217	5311705
GSE113751	SRR7073129	Hela-Leu-3h	GSE113751_SRR7073129_Hela-Leu-3h	18378503	18225431	3849027	14154063	5929406	4529769
GSE113751	SRR7073130	Hela-Rich-3h	GSE113751_SRR7073130_Hela-Rich-3h	18725731	18634615	2869001	15590081	8087410	6820589
GSE113751	SRR7073152	HEK293T-Arg-6h	GSE113751_SRR7073152_HEK293T-Arg-6h	11072695	10868588	3185382	7636262	4415847	3946038
GSE113751	SRR7073153	HEK293T-Leu-6h	GSE113751_SRR7073153_HEK293T-Leu-6h	15056766	14740283	4432757	10241302	6060011	5376665
GSE113751	SRR7073154	HEK293T-Rich-6h	GSE113751_SRR7073154_HEK293T-Rich-6h	16256429	15989579	4257251	11653371	6842342	6123323
GSE114794	SRR7207252	MCF10A-EtOH-Ctrl-30min-1	GSE114794_SRR7207252_MCF10A-EtOH-Ctrl-30min-1	58482428	57661471	20669838	36697174	13021675	11453064
GSE114794	SRR7207253	MCF10A-EtOH-NoQ-30min-1	GSE114794_SRR7207253_MCF10A-EtOH-NoQ-30min-1	26134586	25678069	10647648	14893101	4373559	3770957
GSE114794	SRR7207254	MCF10A-TAM-Ctrl-30min-1	GSE114794_SRR7207254_MCF10A-TAM-Ctrl-30min-1	42732147	42155272	20326808	21572125	6355079	5680660
GSE114794	SRR7207255	MCF10A-TAM-NoQ-30min-1	GSE114794_SRR7207255_MCF10A-TAM-NoQ-30min-1	36797765	36211714	17359460	18634080	4815312	4133300
GSE114794	SRR7207256	MCF10A-EtOH-Ctrl-30min-2	GSE114794_SRR7207256_MCF10A-EtOH-Ctrl-30min-2	14398763	13844914	4555813	9238280	1840695	1510153
GSE114794	SRR7207257	MCF10A-EtOH-NoQ-30min-2	GSE114794_SRR7207257_MCF10A-EtOH-NoQ-30min-2	12297306	12062079	4328179	7688979	1723694	1465338
GSE114794	SRR7207258	MCF10A-TAM-Ctrl-30min-2	GSE114794_SRR7207258_MCF10A-TAM-Ctrl-30min-2	17976556	17121258	6323924	10730684	2203029	1872522
GSE114794	SRR7207259	MCF10A-TAM-NoQ-30min-2	GSE114794_SRR7207259_MCF10A-TAM-NoQ-30min-2	18545613	17727452	6859361	10802507	1760148	1436162
GSE114794	SRR7207260	MCF10A-EtOH-Ctrl-04hr-1	GSE114794_SRR7207260_MCF10A-EtOH-Ctrl-04hr-1	57396973	57084698	17984592	38733175	5338252	4303018
GSE114794	SRR7207261	MCF10A-EtOH-NoQ-04hr-1	GSE114794_SRR7207261_MCF10A-EtOH-NoQ-04hr-1	55038408	54732352	24405115	29869462	3404284	2969483
GSE114794	SRR7207262	MCF10A-EtOH-NoCys-04hr-1	GSE114794_SRR7207262_MCF10A-EtOH-NoCys-04hr-1	43175292	42979501	14670983	28019112	3428407	2810852
GSE114794	SRR7207263	MCF10A-TAM-Ctrl-04hr-1	GSE114794_SRR7207263_MCF10A-TAM-Ctrl-04hr-1	90328104	89596881	34756568	53985989	4465326	3731883
GSE114794	SRR7207264	MCF10A-TAM-NoQ-04hr-1	GSE114794_SRR7207264_MCF10A-TAM-NoQ-04hr-1	62958590	62568568	22585144	39656521	4125268	3565068
GSE114794	SRR7207265	MCF10A-TAM-Torin-04hr-1	GSE114794_SRR7207265_MCF10A-TAM-Torin-04hr-1	93273334	92698712	36439003	55844578	3328757	2566324
GSE114794	SRR7207266	MCF10A-EtOH-Ctrl-04hr-2	GSE114794_SRR7207266_MCF10A-EtOH-Ctrl-04hr-2	59029724	58387813	19561915	38349867	13857449	12570897
GSE114794	SRR7207268	MCF10A-EtOH-NoCys-04hr-2	GSE114794_SRR7207268_MCF10A-EtOH-NoCys-04hr-2	58570229	57688757	21850389	35182164	8274061	7427418
GSE114794	SRR7207269	MCF10A-EtOH-NoG-04hr-2	GSE114794_SRR7207269_MCF10A-EtOH-NoG-04hr-2	67780201	67059491	25989184	40640685	14770183	13124985
GSE114794	SRR7207270	MCF10A-EtOH-NoBCAA-04hr-2	GSE114794_SRR7207270_MCF10A-EtOH-NoBCAA-04hr-2	54256789	53493504	21850168	31164465	7294329	5768820
GSE114794	SRR7207271	MCF10A-EtOH-NoQ-04hr-2	GSE114794_SRR7207271_MCF10A-EtOH-NoQ-04hr-2	60823089	60165256	24319420	35362376	13278061	11949583
GSE114794	SRR7207272	MCF10A-TAM-Ctrl-04hr-2	GSE114794_SRR7207272_MCF10A-TAM-Ctrl-04hr-2	51914214	51145842	21381594	29420589	12064655	11062656
GSE114794	SRR7207273	MCF10A-TAM-NoCys-04hr-2	GSE114794_SRR7207273_MCF10A-TAM-NoCys-04hr-2	62864635	61911927	24399167	37042985	13407663	12155170
GSE114794	SRR7207274	MCF10A-TAM-NoG-04hr-2	GSE114794_SRR7207274_MCF10A-TAM-NoG-04hr-2	60101162	59336619	24933486	34030022	13069115	11860769
GSE114794	SRR7207275	MCF10A-TAM-NoBCAA-04hr-2	GSE114794_SRR7207275_MCF10A-TAM-NoBCAA-04hr-2	84170296	82893798	35454430	46872311	15343636	13863305
GSE114794	SRR7207276	MCF10A-TAM-NoQ-04hr-2	GSE114794_SRR7207276_MCF10A-TAM-NoQ-04hr-2	49004653	48262827	21098042	26831749	10297741	9206814
GSE114794	SRR7207277	MCF10A-EtOH-Ctrl-04hr-3	GSE114794_SRR7207277_MCF10A-EtOH-Ctrl-04hr-3	31621063	29528352	9112566	20261952	7329501	6319953
GSE114794	SRR7207278	MCF10A-EtOH-NoCys-04hr-3	GSE114794_SRR7207278_MCF10A-EtOH-NoCys-04hr-3	36392781	35110196	11324601	23575347	7964083	6619554
GSE114794	SRR7207279	MCF10A-EtOH-NoG-04hr-3	GSE114794_SRR7207279_MCF10A-EtOH-NoG-04hr-3	29671806	29119577	10207771	18768331	6261717	5042341
GSE114794	SRR7207280	MCF10A-EtOH-NoBCAA-04hr-3	GSE114794_SRR7207280_MCF10A-EtOH-NoBCAA-04hr-3	35064499	34498213	13240017	20990901	4420668	3276038
GSE114794	SRR7207281	MCF10A-TAM-Ctrl-04hr-3	GSE114794_SRR7207281_MCF10A-TAM-Ctrl-04hr-3	34076350	33339426	11829098	21278275	6845073	5563647
GSE114794	SRR7207282	MCF10A-TAM-NoCys-04hr-3	GSE114794_SRR7207282_MCF10A-TAM-NoCys-04hr-3	36245543	32237249	13478869	18495892	5004814	4111645
GSE114794	SRR7207283	MCF10A-TAM-NoG-04hr-3	GSE114794_SRR7207283_MCF10A-TAM-NoG-04hr-3	38238485	37130468	14346153	22519861	5944828	4643016
GSE114794	SRR7207284	MCF10A-TAM-NoBCAA-04hr-3	GSE114794_SRR7207284_MCF10A-TAM-NoBCAA-04hr-3	29557035	28554801	14159854	14204380	3492446	3123242
GSE115161	SRR7241912	Hela-Ctrl-1	GSE115161_SRR7241912_Hela-Ctrl-1	53902947	53486738	21062500	32250322	4296092	3484722
GSE115161	SRR7241913	Hela-Ctrl-2	GSE115161_SRR7241913_Hela-Ctrl-2	45242293	44387121	15133061	28919945	7977326	6160997
GSE115161	SRR7241914	Hela-Gln-6h	GSE115161_SRR7241914_Hela-Gln-6h	21159643	21020090	8292629	12657933	1150215	891533
GSE115161	SRR7241916	Hela-Gln-9h	GSE115161_SRR7241916_Hela-Gln-9h	21297037	21288277	8563859	12629229	861670	584445
GSE126736	SRR8590754-55	HMECs-serum-full	GSE126736_SRR8590754-55_HMECs-serum-full	41872034	40766158	6712652	33828109	16167236	13561227
GSE126736	SRR8590756-57	HMECs-serum-deprived-1h	GSE126736_SRR8590756-57_HMECs-serum-deprived-1h	44537745	39769105	7284964	32240910	13685512	11009953
GSE126736	SRR8590758-59	HMECs-serum-deprived-24h	GSE126736_SRR8590758-59_HMECs-serum-deprived-24h	57911339	50129096	8278495	40486394	14405383	10947544
GSE126736	SRR8590766-67	MCF10A-serum-full	GSE126736_SRR8590766-67_MCF10A-serum-full	74264116	69928733	18360942	50068817	18859266	14288441
GSE126736	SRR8590768-69	MCF10A-serum-deprived-1h	GSE126736_SRR8590768-69_MCF10A-serum-deprived-1h	85059515	81609552	19593472	60276088	26697782	22149451
GSE126736	SRR8590778-79	T47D-serum-full	GSE126736_SRR8590778-79_T47D-serum-full	77237167	73902911	17447480	55082040	24799607	19977220
GSE126736	SRR8590780-83	T47D-Charcoal-Stripped-1h	GSE126736_SRR8590780-83_T47D-Charcoal-Stripped-1h	36645970	34956012	5363108	29052257	12984512	10357662
GSE126736	SRR8590790	ZR75-1-serum-full	GSE126736_SRR8590790_ZR75-1-serum-full	60103476	56259631	7378423	47155076	21630012	16864743
GSE126736	SRR8590791	ZR75-1-Charcoal-Stripped-1h	GSE126736_SRR8590791_ZR75-1-Charcoal-Stripped-1h	67052659	62672285	12490078	48250709	21927044	16766863
GSE126736	SRR8590794-95	SUM159PT-serum-full	GSE126736_SRR8590794-95_SUM159PT-serum-full	68642571	57744089	11259513	45427027	20705943	15157332
GSE126736	SRR8590796-97	SUM159PT-serum-full-5h	GSE126736_SRR8590796-97_SUM159PT-serum-full-5h	87370860	83709713	15473751	66411269	32893487	25811910
