AccessionNumber	SRRID	SampleDesc	SampleID	15nt-45nt	rRNA contamination	Non_rRNA reads ratio	Unique reads ratio	Exon reads ratio
GSE112643	SRR6932676	HEK293-Ctrl-CHX	GSE112643_SRR6932676_HEK293-Ctrl-CHX	0.969	0.546	0.454	0.2128	0.074669667
GSE112643	SRR6932677	HEK293-Ctrl-noCHX	GSE112643_SRR6932677_HEK293-Ctrl-noCHX	0.9997	0.0357	0.9643	0.1047	0.066216422
GSE112643	SRR6932678	HEK293-Arg-12h-CHX	GSE112643_SRR6932678_HEK293-Arg-12h-CHX	0.937	0.4119	0.5881	0.3236	0.123717141
GSE112643	SRR6932679	HEK293-Arg-12h-noCHX	GSE112643_SRR6932679_HEK293-Arg-12h-noCHX	0.998	0.0316	0.9684	0.0839	0.039150477
GSE112643	SRR6932680	HEK293-Leu-12h-CHX	GSE112643_SRR6932680_HEK293-Leu-12h-CHX	0.962	0.5307	0.4693	0.366	0.126457246
GSE112643	SRR6932681	HEK293-Leu-12h-noCHX	GSE112643_SRR6932681_HEK293-Leu-12h-noCHX	0.999	0.0417	0.9583	0.0881	0.0391896
GSE112643	SRR6932682	HEK293-Met-12h-CHX	GSE112643_SRR6932682_HEK293-Met-12h-CHX	0.945	0.4483	0.5517	0.057	0.019276904
GSE112643	SRR6932683	HEK293-Met-12h-noCHX	GSE112643_SRR6932683_HEK293-Met-12h-noCHX	0.9996	0.0307	0.9693	0.0628	0.032858179
GSE113751	SRR7073121	HEK293T-Arg-3h	GSE113751_SRR7073121_HEK293T-Arg-3h	0.954	0.1947	0.8053	0.3941	0.239760841
GSE113751	SRR7073123	HEK293T-Leu-3h	GSE113751_SRR7073123_HEK293T-Leu-3h	0.956	0.1671	0.8329	0.5096	0.346406659
GSE113751	SRR7073124	HEK293T-Rich-3h	GSE113751_SRR7073124_HEK293T-Rich-3h	0.968	0.1459	0.8541	0.4702	0.328816289
GSE113751	SRR7073125	HCT116-Arg-3h	GSE113751_SRR7073125_HCT116-Arg-3h	0.976	0.2562	0.7438	0.3278	0.199050183
GSE113751	SRR7073126	HCT116-Leu-3h	GSE113751_SRR7073126_HCT116-Leu-3h	0.966	0.2848	0.7152	0.298	0.165089421
GSE113751	SRR7073127	HCT116-Rich-3h	GSE113751_SRR7073127_HCT116-Rich-3h	0.986	0.2959	0.7041	0.2729	0.147542611
GSE113751	SRR7073128	Hela-Arg-3h	GSE113751_SRR7073128_Hela-Arg-3h	0.993	0.2601	0.7399	0.4111	0.220837298
GSE113751	SRR7073129	Hela-Leu-3h	GSE113751_SRR7073129_Hela-Leu-3h	0.992	0.2138	0.7862	0.4189	0.246471054
GSE113751	SRR7073130	Hela-Rich-3h	GSE113751_SRR7073130_Hela-Rich-3h	0.995	0.1554	0.8446	0.5188	0.364236195
GSE113751	SRR7073152	HEK293T-Arg-6h	GSE113751_SRR7073152_HEK293T-Arg-6h	0.982	0.2944	0.7056	0.5783	0.356375571
GSE113751	SRR7073153	HEK293T-Leu-6h	GSE113751_SRR7073153_HEK293T-Leu-6h	0.979	0.3021	0.6979	0.5917	0.357092951
GSE113751	SRR7073154	HEK293T-Rich-6h	GSE113751_SRR7073154_HEK293T-Rich-6h	0.984	0.2676	0.7324	0.5872	0.376670854
GSE114794	SRR7207252	MCF10A-EtOH-Ctrl-30min-1	GSE114794_SRR7207252_MCF10A-EtOH-Ctrl-30min-1	0.986	0.3603	0.6397	0.3548	0.195837697
GSE114794	SRR7207253	MCF10A-EtOH-NoQ-30min-1	GSE114794_SRR7207253_MCF10A-EtOH-NoQ-30min-1	0.983	0.4169	0.5831	0.2937	0.144289908
GSE114794	SRR7207254	MCF10A-TAM-Ctrl-30min-1	GSE114794_SRR7207254_MCF10A-TAM-Ctrl-30min-1	0.987	0.4851	0.5149	0.2946	0.132936452
GSE114794	SRR7207255	MCF10A-TAM-NoQ-30min-1	GSE114794_SRR7207255_MCF10A-TAM-NoQ-30min-1	0.984	0.4823	0.5177	0.2584	0.112324757
GSE114794	SRR7207256	MCF10A-EtOH-Ctrl-30min-2	GSE114794_SRR7207256_MCF10A-EtOH-Ctrl-30min-2	0.962	0.3303	0.6697	0.1992	0.104880746
GSE114794	SRR7207257	MCF10A-EtOH-NoQ-30min-2	GSE114794_SRR7207257_MCF10A-EtOH-NoQ-30min-2	0.981	0.3602	0.6398	0.2242	0.11915927
GSE114794	SRR7207258	MCF10A-TAM-Ctrl-30min-2	GSE114794_SRR7207258_MCF10A-TAM-Ctrl-30min-2	0.952	0.3708	0.6292	0.2053	0.104164669
GSE114794	SRR7207259	MCF10A-TAM-NoQ-30min-2	GSE114794_SRR7207259_MCF10A-TAM-NoQ-30min-2	0.956	0.3884	0.6116	0.1629	0.077439446
GSE114794	SRR7207260	MCF10A-EtOH-Ctrl-04hr-1	GSE114794_SRR7207260_MCF10A-EtOH-Ctrl-04hr-1	0.995	0.3171	0.6829	0.1378	0.074969424
GSE114794	SRR7207261	MCF10A-EtOH-NoQ-04hr-1	GSE114794_SRR7207261_MCF10A-EtOH-NoQ-04hr-1	0.994	0.4497	0.5503	0.114	0.053952923
GSE114794	SRR7207262	MCF10A-EtOH-NoCys-04hr-1	GSE114794_SRR7207262_MCF10A-EtOH-NoCys-04hr-1	0.995	0.3437	0.6563	0.1224	0.065103254
GSE114794	SRR7207263	MCF10A-TAM-Ctrl-04hr-1	GSE114794_SRR7207263_MCF10A-TAM-Ctrl-04hr-1	0.992	0.3917	0.6083	0.0827	0.04131475
GSE114794	SRR7207264	MCF10A-TAM-NoQ-04hr-1	GSE114794_SRR7207264_MCF10A-TAM-NoQ-04hr-1	0.994	0.3629	0.6371	0.104	0.056625601
GSE114794	SRR7207265	MCF10A-TAM-Torin-04hr-1	GSE114794_SRR7207265_MCF10A-TAM-Torin-04hr-1	0.994	0.3949	0.6051	0.0596	0.027514016
GSE114794	SRR7207266	MCF10A-EtOH-Ctrl-04hr-2	GSE114794_SRR7207266_MCF10A-EtOH-Ctrl-04hr-2	0.989	0.3378	0.6622	0.3613	0.212958763
