	SRR8915507	SRR8915508	SRR8915511	SRR8915512	SRR8915515	SRR8915516	SRR10382043	SRR10382044	SRR10382045	SRR10382046	SRR9295889	SRR9295890	SRR9295891	SRR9295892	SRR9295897	SRR9295898	SRR9295899	SRR9295900	SRR9295905	SRR9295906	SRR9295907	SRR9295908	SRR8590754-55	SRR8590756-57	SRR8590758-59	SRR8590766-67	SRR8590768-69	SRR8590778-79	SRR8590780-83	SRR8590790	SRR8590791	SRR8590794-95	SRR8590796-97	SRR8590798-801	SRR8590802	SRR8590812	SRR8590813	SRR1528632-33	SRR1528632	SRR1528633	SRR2064566-67	SRR2064566	SRR2874255-56	SRR2064449	SRR2064450	SRR2064451	SRR2064452	SRR2064453	SRR2064454	SRR2064455	SRR2064456	SRR7241912	SRR7241913	SRR7241914	SRR7241916	SRR403883	SRR403885	SRR403887	SRR403889	SRR403891	SRR403893	SRR1916542	SRR1916543	SRR1916544-45	SRR1916546-47	SRR1916548-49	SRR1916550-51	SRR5413155	SRR5413156	SRR5413157	SRR5413158	SRR10399043	SRR10399044	SRR10399045	SRR10399046	SRR10399047	SRR10399048	SRR10814059	SRR10814060	SRR10814061	SRR10814062	SRR10814065	SRR10814066	SRR10814067	SRR10814068	SRR10814071	SRR10814072	SRR10814073	SRR10814074	SRR10814077	SRR10814078	SRR10814079	SRR10814080	SRR10814081	SRR10814082	SRR10814083	SRR10814084	SRR10814089	SRR10814090	SRR10814092	SRR10814093	SRR10814094	SRR10814096	SRR10814097	SRR10814098	SRR10814099	SRR10814100	SRR1795425-26	SRR1795427-28	SRR1795429-30	SRR1795431-32	SRR1795433-34	SRR1795435-36	SRR1795437-38	SRR1795439-40	SRR7207252	SRR7207253	SRR7207254	SRR7207255	SRR7207256	SRR7207257	SRR7207258	SRR7207259	SRR7207260	SRR7207261	SRR7207262	SRR7207263	SRR7207264	SRR7207265	SRR7207266	SRR7207268	SRR7207269	SRR7207270	SRR7207271	SRR7207272	SRR7207273	SRR7207274	SRR7207275	SRR7207276	SRR7207277	SRR7207278	SRR7207279	SRR7207280	SRR7207281	SRR7207282	SRR7207283	SRR7207284	SRR6932676	SRR6932677	SRR6932678	SRR6932679	SRR6932680	SRR6932681	SRR6932682	SRR6932683	SRR7073121	SRR7073123	SRR7073124	SRR7073125	SRR7073126	SRR7073127	SRR7073128	SRR7073129	SRR7073130	SRR7073152	SRR7073153	SRR7073154	SRR2064437-38	SRR2064439-40	SRR2064441-42	SRR10322762	SRR10322763	SRR10322764	SRR10322765	SRR10322766	SRR10322767	SRR3392899	SRR3398188
33	179372.0	365730.0	215813.0	175958.0	108644.0	113783.0	171275.0	67970.0	42968.0	26873.0	1302088.0	1108250.0	462290.0	264489.0	1109236.0	1491547.0	1049129.0	630627.0	831023.0	329220.0	212709.0	132948.0	412005.0	422371.0	510590.0	989885.0	1091801.0	1103623.0	484976.0	856876.0	627612.0	600836.0	948983.0	424455.0	530856.0	725689.0	800523.0	116442.0	58916.0	57526.0	148041.0	32333.0	205992.0	482402.0	831667.0	241522.0	254993.0	886041.0	1103203.0	641828.0	580237.0	41756.0	96386.0	19640.0	11677.0	136192.0	33091.0	58062.0	193877.0	71916.0	317358.0	159276.0	332929.0	412867.0	349076.0	584311.0	230329.0	875070.0	479586.0	292320.0	319124.0	1633100.0	3549979.0	2458314.0	1764783.0	2033762.0	1592188.0	518114.0	590717.0	351533.0	251412.0	353100.0	326869.0	315995.0	314809.0	421264.0	377311.0	217137.0	303813.0	412705.0	425907.0	344665.0	302217.0	445365.0	428072.0	284708.0	193620.0	141973.0	86974.0	59723.0	28719.0	8425.0	77108.0	46817.0	87789.0	99573.0	15534.0	1891663.0	2553623.0	1094600.0	1528053.0	1937632.0	870266.0	1396962.0	1809449.0	1154494.0	416418.0	444391.0	521687.0	178068.0	202332.0	218795.0	330852.0	1177704.0	452832.0	648200.0	1094683.0	534540.0	1096451.0	961977.0	638961.0	1927215.0	1217116.0	1197255.0	779830.0	1569737.0	766547.0	1032425.0	831505.0	731972.0	841443.0	808806.0	807825.0	1108391.0	548607.0	1357495.0	64252.0	37412.0	601868.0	180743.0	294658.0	98124.0	312840.0	16064.0	250631.0	1089360.0	1590010.0	2711831.0	371753.0	318482.0	306829.0	687478.0	506294.0	789820.0	424120.0	623813.0	765656.0	620204.0	497803.0	560320.0	25686.0	54101.0	31513.0	30605.0	23497.0	22027.0	23799.0	13623.0
30	66328.0	436803.0	87169.0	396292.0	44609.0	125370.0	280112.0	189857.0	167190.0	98398.0	793937.0	962957.0	401986.0	248942.0	543215.0	1290546.0	729189.0	745748.0	1339190.0	909894.0	799590.0	485578.0	2895487.0	2616063.0	2914081.0	3803287.0	5274975.0	5878086.0	2804408.0	4406840.0	2245951.0	3908487.0	6158191.0	1313632.0	2494049.0	1912548.0	2903719.0	1179663.0	595972.0	583691.0	1194847.0	380057.0	1661842.0	1664548.0	3872844.0	1145017.0	985144.0	3104233.0	2882919.0	788956.0	1342848.0	279275.0	973764.0	66743.0	117250.0	326166.0	303376.0	451094.0	2113175.0	962793.0	2771374.0	2171650.0	2486960.0	5277241.0	1774763.0	4255385.0	826344.0	731553.0	520421.0	237172.0	351291.0	1325804.0	2328259.0	2996497.0	1877368.0	1545528.0	1343896.0	1249960.0	1692159.0	887460.0	773379.0	989724.0	1059180.0	975237.0	1148272.0	1098528.0	1293417.0	683914.0	764846.0	2486323.0	2228197.0	1199475.0	1632051.0	2393694.0	2666782.0	1340506.0	1194029.0	468211.0	404974.0	1000687.0	501067.0	149754.0	930944.0	1006010.0	1799527.0	384751.0	233327.0	1675768.0	3019178.0	1277692.0	1468889.0	1146248.0	956597.0	1455085.0	1603703.0	2506460.0	749341.0	862102.0	759936.0	225079.0	368057.0	329754.0	338685.0	973507.0	716532.0	563795.0	1042195.0	710012.0	574919.0	2979642.0	2057181.0	3248185.0	1624737.0	2811438.0	2018661.0	3456564.0	2395151.0	2700597.0	1889994.0	1632261.0	2148441.0	1571608.0	833294.0	1577095.0	1120770.0	1075511.0	593808.0	774761.0	139014.0	2325439.0	112550.0	1919528.0	108070.0	223596.0	96631.0	968155.0	1856052.0	2438344.0	280754.0	262319.0	272398.0	661013.0	613747.0	902686.0	281573.0	316617.0	467074.0	5064714.0	3521495.0	4971850.0	71944.0	108002.0	120665.0	98315.0	93013.0	74882.0	662198.0	265595.0
27	137618.0	279288.0	186357.0	285007.0	199446.0	219488.0	127198.0	88507.0	66581.0	55872.0	312285.0	448953.0	232758.0	145366.0	225048.0	528387.0	317423.0	289865.0	616305.0	428166.0	328909.0	271291.0	2993159.0	2104551.0	2069556.0	2425247.0	3559150.0	3123575.0	1911675.0	4836755.0	3702949.0	3727339.0	5496731.0	1354926.0	2117213.0	3465755.0	4850048.0	3265608.0	1647849.0	1617759.0	2673501.0	1106799.0	1477447.0	1285596.0	1157725.0	344244.0	201861.0	861117.0	559754.0	138042.0	430073.0	414570.0	564121.0	104194.0	69548.0	1031075.0	1156991.0	870307.0	812190.0	978286.0	519783.0	963357.0	826093.0	2168037.0	273812.0	112088.0	95618.0	758118.0	455606.0	216680.0	370917.0	575884.0	728255.0	830430.0	446232.0	550483.0	537003.0	454471.0	864841.0	606437.0	466508.0	53795.0	29497.0	156512.0	286796.0	228375.0	246956.0	226980.0	275839.0	678958.0	261987.0	702312.0	1126117.0	595701.0	761044.0	659356.0	586393.0	502542.0	546039.0	406522.0	337449.0	120072.0	428805.0	260049.0	521836.0	105629.0	228447.0	1440971.0	1060083.0	850739.0	725773.0	754024.0	660108.0	1506868.0	1292951.0	3174242.0	1021410.0	2383134.0	1346964.0	659890.0	466254.0	775195.0	498597.0	778887.0	928108.0	802590.0	685136.0	1534938.0	574223.0	3779317.0	1996904.0	3368433.0	734427.0	3432724.0	4170121.0	2396644.0	4238187.0	4737683.0	3145158.0	1154246.0	498725.0	336061.0	142803.0	580168.0	803844.0	284074.0	1218404.0	801176.0	72612.0	1679270.0	70999.0	1676012.0	55605.0	201933.0	47114.0	420393.0	1617329.0	1175638.0	167051.0	225742.0	189386.0	504875.0	543364.0	765032.0	195015.0	123723.0	228450.0	1383831.0	1006896.0	1074971.0	946930.0	1114740.0	833066.0	596318.0	853011.0	666772.0	898119.0	210024.0
34	154951.0	168684.0	150855.0	37813.0	92459.0	27941.0	39640.0	16146.0	8260.0	5538.0	1077270.0	627684.0	291326.0	153075.0	958322.0	783919.0	653905.0	372607.0	190620.0	78569.0	40052.0	27055.0	276048.0	262812.0	305020.0	911799.0	851979.0	920122.0	387284.0	654843.0	514917.0	229420.0	573170.0	480763.0	267018.0	643871.0	762457.0	81786.0	41288.0	40498.0	112297.0	25618.0	97361.0	347938.0	414814.0	120663.0	150468.0	812237.0	730291.0	363386.0	255774.0	31283.0	54844.0	10757.0	7277.0	94173.0	14071.0	34006.0	116782.0	31833.0	169531.0	99182.0	188442.0	247530.0	279731.0	411830.0	190940.0	466554.0	173196.0	138460.0	131027.0	1106363.0	2348993.0	1664329.0	1277651.0	1435593.0	1098099.0	139962.0	164890.0	86688.0	81711.0	884015.0	827266.0	1086062.0	859731.0	882495.0	715570.0	545719.0	792224.0	441919.0	623564.0	1069824.0	490000.0	999972.0	545285.0	475035.0	255289.0	69585.0	26040.0	12978.0	8222.0	6415.0	22938.0	16303.0	38312.0	130894.0	7188.0	1147698.0	1121251.0	627485.0	894382.0	1321924.0	535184.0	1065816.0	1266167.0	985754.0	455491.0	352137.0	481150.0	129187.0	140891.0	161898.0	235371.0	1273810.0	396656.0	780316.0	1437126.0	587639.0	1600447.0	548398.0	709802.0	1286013.0	1045524.0	685887.0	402644.0	1007686.0	498223.0	795144.0	526387.0	575638.0	706051.0	648422.0	742055.0	801070.0	441430.0	1077936.0	30094.0	18801.0	1102375.0	79185.0	574395.0	49347.0	553011.0	7137.0	463986.0	1019307.0	1161116.0	2567660.0	335195.0	286212.0	270392.0	611018.0	409373.0	644040.0	424743.0	629057.0	756062.0	357646.0	240498.0	273425.0	6984.0	11106.0	11877.0	13629.0	9007.0	9243.0	10848.0	5585.0
31	129622.0	392392.0	127790.0	349275.0	69700.0	148474.0	303570.0	192242.0	146559.0	86693.0	1050942.0	1223757.0	503953.0	308120.0	767419.0	1750197.0	1012764.0	1023978.0	1449316.0	918518.0	706872.0	417111.0	1214404.0	1231744.0	1728614.0	1662674.0	1969686.0	3204169.0	1293640.0	1951594.0	1226672.0	1918352.0	2813652.0	727667.0	1216790.0	1318441.0	1683149.0	586400.0	296513.0	289887.0	626482.0	211881.0	954906.0	641037.0	2808077.0	950606.0	864961.0	1931345.0	2672370.0	1202218.0	1729304.0	68396.0	361974.0	23987.0	41032.0	265532.0	171534.0	227211.0	895916.0	383792.0	1982712.0	1097343.0	1691189.0	2671991.0	941690.0	2190062.0	461193.0	889372.0	641330.0	303897.0	411287.0	1317457.0	2610218.0	3089062.0	1973912.0	1605695.0	1399672.0	1518475.0	1943873.0	1001899.0	834182.0	932903.0	1036249.0	807595.0	840704.0	1001324.0	1124316.0	444470.0	658497.0	1608517.0	1475253.0	715583.0	994707.0	1452087.0	1721116.0	805403.0	684681.0	408047.0	318575.0	646466.0	310651.0	75281.0	618415.0	411427.0	761951.0	200072.0	87411.0	1957664.0	3922365.0	1468498.0	1820698.0	1474554.0	1188060.0	1480419.0	1826629.0	1435661.0	463718.0	483497.0	515017.0	156258.0	257023.0	216548.0	316130.0	762911.0	481090.0	459878.0	849380.0	520229.0	592515.0	1725837.0	1333525.0	2308870.0	1173375.0	1876043.0	1247140.0	2699867.0	1478175.0	1561744.0	1157584.0	1043533.0	1452138.0	1107517.0	677609.0	1091614.0	671715.0	924079.0	256080.0	207243.0	162520.0	994477.0	123711.0	564916.0	111838.0	60490.0	86899.0	902820.0	1705438.0	2354539.0	286306.0	258169.0	269898.0	656591.0	560301.0	852580.0	304435.0	389631.0	529586.0	3226044.0	2749003.0	3400233.0	122207.0	107610.0	235308.0	197297.0	174022.0	145106.0	169612.0	52690.0
32	173389.0	373752.0	177213.0	295685.0	96639.0	164787.0	295147.0	159583.0	109909.0	66784.0	1228991.0	1280311.0	503398.0	305206.0	935239.0	1874022.0	1127058.0	958326.0	1422549.0	764192.0	534831.0	323492.0	504445.0	566341.0	773588.0	1321515.0	1207386.0	1410767.0	564138.0	1045239.0	618561.0	1047311.0	1201173.0	456031.0	669458.0	696860.0	784252.0	221554.0	111639.0	109915.0	275641.0	77059.0	443844.0	538888.0	1339897.0	489345.0	568102.0	1105469.0	1691980.0	720976.0	1078426.0	43643.0	163573.0	18252.0	24039.0	220395.0	87573.0	119173.0	477493.0	192457.0	944900.0	396368.0	783207.0	961735.0	523656.0	997117.0	333902.0	916757.0	656602.0	355052.0	444116.0	1322887.0	2782093.0	2601663.0	1709490.0	1511347.0	1334402.0	1116678.0	1304582.0	684931.0	547902.0	589789.0	599532.0	515339.0	501031.0	748263.0	727677.0	280420.0	514974.0	836033.0	780587.0	436037.0	547032.0	741512.0	878475.0	452191.0	327455.0	319516.0	217013.0	247550.0	120144.0	37689.0	269821.0	136119.0	260662.0	131817.0	39168.0	2156483.0	3809289.0	1427959.0	1903710.0	1845043.0	1157590.0	1487859.0	1970494.0	1217772.0	425914.0	454132.0	518531.0	150609.0	198483.0	207278.0	323818.0	885571.0	425280.0	506071.0	895737.0	457239.0	734643.0	1269569.0	888463.0	2055402.0	1152604.0	1567153.0	999026.0	2096240.0	1086820.0	1190457.0	983869.0	872092.0	1025917.0	882675.0	710118.0	929734.0	561065.0	1089053.0	149419.0	79036.0	258208.0	390314.0	152980.0	196494.0	166808.0	28317.0	123283.0	1157621.0	1680939.0	2694001.0	329858.0	296956.0	297469.0	714851.0	551795.0	837417.0	384441.0	540773.0	686443.0	1667210.0	1506362.0	1617784.0	89163.0	95774.0	162223.0	145232.0	166681.0	145294.0	59148.0	24434.0
28	88749.0	275661.0	134241.0	286981.0	100776.0	171133.0	157695.0	110352.0	88556.0	62352.0	450183.0	570812.0	283771.0	172155.0	305462.0	717819.0	398203.0	363669.0	765715.0	549889.0	439018.0	307291.0	3578288.0	2557228.0	2255694.0	3148253.0	6996189.0	3835969.0	2111764.0	3925350.0	4251572.0	3869161.0	7580067.0	1231498.0	2473037.0	3955257.0	4986686.0	2655488.0	1341495.0	1313993.0	2330871.0	841306.0	2184779.0	1508368.0	1811827.0	720951.0	411078.0	1535294.0	969751.0	272611.0	688886.0	823787.0	1092427.0	168654.0	92051.0	1161429.0	1333844.0	1037218.0	2276404.0	1863615.0	1228404.0	1838341.0	1843847.0	4292414.0	1075532.0	879561.0	371819.0	1002351.0	580256.0	301000.0	534725.0	1005086.0	1308471.0	2123208.0	1082450.0	974090.0	1011723.0	445014.0	693015.0	427577.0	330436.0	213015.0	138479.0	405294.0	585018.0	488845.0	562082.0	440269.0	436096.0	1157282.0	789263.0	815372.0	1178082.0	1233307.0	1312918.0	880040.0	805656.0	445703.0	473387.0	553169.0	325549.0	142719.0	571940.0	797025.0	1423039.0	252310.0	376824.0	1226271.0	1246009.0	776118.0	791159.0	636554.0	546909.0	1365751.0	1213866.0	3181690.0	949208.0	1740603.0	1088256.0	371958.0	417237.0	493649.0	324738.0	937248.0	943730.0	693832.0	987312.0	1023405.0	577665.0	3892844.0	2447697.0	3177410.0	1357813.0	3443937.0	3187006.0	3132400.0	3353114.0	4040308.0	2357054.0	1657715.0	1293021.0	874498.0	410416.0	1190624.0	1153872.0	623697.0	867633.0	1282808.0	142826.0	2754681.0	85096.0	2619696.0	146520.0	216417.0	142387.0	639779.0	1502948.0	1603410.0	184584.0	208972.0	206563.0	524510.0	567155.0	769129.0	200925.0	161889.0	274110.0	3578769.0	2313414.0	3578014.0	747598.0	1098421.0	671260.0	490093.0	570712.0	449637.0	1193823.0	211179.0
29	50667.0	354508.0	101919.0	349540.0	50608.0	159778.0	203377.0	141126.0	114235.0	77367.0	622761.0	776420.0	373580.0	227914.0	414213.0	965936.0	535787.0	504138.0	991269.0	697196.0	554617.0	382329.0	4638076.0	3586813.0	3361559.0	4497604.0	8633839.0	6014642.0	3206699.0	5114659.0	4221312.0	5094044.0	9294091.0	1450027.0	3354988.0	3855125.0	5133796.0	2122942.0	1072776.0	1050166.0	1960685.0	646714.0	2595640.0	2066844.0	2581545.0	951223.0	831169.0	2198197.0	1668994.0	461614.0	1018307.0	877700.0	1467619.0	186489.0	144401.0	705781.0	778509.0	839561.0	3178490.0	1881100.0	2397820.0	2364080.0	2378981.0	5687291.0	1906851.0	3317692.0	894501.0	821179.0	508968.0	241919.0	386914.0	1544688.0	2150275.0	3791885.0	1869019.0	1554442.0	1460547.0	805491.0	1163692.0	631452.0	532095.0	593771.0	534211.0	812327.0	1092870.0	940161.0	1066892.0	741131.0	722370.0	2368906.0	1926009.0	1316070.0	1810900.0	2395720.0	2549381.0	1361191.0	1228969.0	478423.0	460427.0	897664.0	496040.0	177870.0	881804.0	1346977.0	2393784.0	480333.0	434763.0	1448680.0	1936003.0	975567.0	1109017.0	823354.0	691306.0	1365831.0	1358351.0	3325660.0	960001.0	1439493.0	1029704.0	295645.0	443522.0	444122.0	322276.0	1219292.0	1010140.0	733007.0	1277087.0	989982.0	656058.0	3961687.0	2370085.0	3743918.0	1742044.0	3523985.0	2922828.0	3543731.0	3216682.0	3896294.0	2488273.0	1960301.0	2095061.0	1487159.0	746378.0	1764843.0	1422478.0	1031410.0	853285.0	1675407.0	90337.0	2814766.0	87892.0	3739384.0	81407.0	277443.0	64130.0	609557.0	1665286.0	1774853.0	238192.0	240370.0	242234.0	605011.0	589418.0	832998.0	245509.0	240611.0	376029.0	4980243.0	3190481.0	4851071.0	196054.0	328401.0	288570.0	216221.0	192830.0	151574.0	1431993.0	304957.0
22	23090.0	121462.0	33559.0	170991.0	22263.0	83133.0	62823.0	42423.0	34329.0	25989.0	25492.0	42602.0	31277.0	22930.0	37840.0	73209.0	73362.0	60173.0	307808.0	205914.0	166222.0	127515.0	383602.0	348753.0	390122.0	376644.0	280417.0	390031.0	295089.0	374469.0	976381.0	705441.0	442615.0	156810.0	198035.0	429277.0	325242.0	26921.0	13606.0	13315.0	66268.0	19018.0	19960.0	73843.0	15651.0	3243.0	8279.0	9877.0	11083.0	3576.0	60617.0	563903.0	874116.0	188439.0	176249.0	37069.0	55087.0	60570.0	25653.0	53561.0	29968.0	7083.0	6988.0	7279.0	1466.0	4054.0	4393.0	157113.0	80765.0	19053.0	21483.0	30816.0	30224.0	16565.0	336770.0	337890.0	162256.0	58604.0	79342.0	105479.0	49667.0	2362.0	1322.0	3760.0	4205.0	4540.0	21720.0	2534.0	3741.0	4192.0	25886.0	4528.0	42357.0	34194.0	33601.0	27063.0	14077.0	164588.0	210725.0	300227.0	269718.0	174331.0	245219.0	46921.0	86878.0	23967.0	36364.0	126792.0	68139.0	50770.0	37191.0	52008.0	53339.0	330616.0	200445.0	24014.0	12795.0	13546.0	14314.0	11085.0	6536.0	14411.0	12609.0	3322.0	14139.0	7104.0	7499.0	10424.0	2092.0	118331.0	51851.0	61751.0	75703.0	64335.0	51488.0	35049.0	131875.0	64778.0	65649.0	34733.0	46215.0	23849.0	8515.0	9344.0	40570.0	11339.0	179158.0	55519.0	9195.0	123744.0	39821.0	299268.0	27567.0	96185.0	8827.0	63373.0	450553.0	128285.0	13336.0	66190.0	19453.0	84808.0	178834.0	218862.0	12874.0	4528.0	8517.0	20310.0	12052.0	79.0	204970.0	163906.0	315035.0	235326.0	395382.0	302202.0	12896.0	8191.0
18	309190.0	75922.0	637508.0	105694.0	222077.0	79028.0	38841.0	26320.0	20206.0	16011.0	31538.0	46168.0	49065.0	38649.0	10206.0	29697.0	16806.0	33387.0	189137.0	128419.0	98190.0	77505.0	265735.0	419380.0	614520.0	511735.0	252248.0	424724.0	177918.0	416802.0	1062411.0	411115.0	272519.0	150900.0	259726.0	279775.0	260525.0	4056.0	2042.0	2014.0	16808.0	2592.0	6159.0	27919.0	2766.0	1927.0	3932.0	2207.0	2753.0	8092.0	11421.0	297474.0	541753.0	110633.0	43155.0	6684.0	16464.0	28258.0	3567.0	8628.0	3851.0	1560.0	1336.0	4924.0	1961.0	4463.0	2981.0	82409.0	40790.0	2229.0	4590.0	22083.0	32689.0	23885.0	133150.0	117257.0	97434.0	16973.0	14765.0	116289.0	15287.0	750.0	524.0	1189.0	1494.0	881.0	4660.0	645.0	1140.0	1554.0	3016.0	3094.0	7812.0	3846.0	5538.0	8935.0	2914.0	25818.0	68366.0	39559.0	32182.0	162017.0	33892.0	7512.0	10210.0	7436.0	26680.0	7991.0	12489.0	74568.0	111171.0	14540.0	13382.0	30328.0	260869.0	16145.0	8980.0	9353.0	11767.0	17459.0	11495.0	22497.0	12007.0	443.0	3043.0	1683.0	4039.0	2863.0	160.0	39918.0	17228.0	56292.0	13411.0	34432.0	7808.0	17386.0	63090.0	9960.0	127055.0	38960.0	50929.0	17656.0	10156.0	8202.0	34634.0	12903.0	31456.0	4433.0	3381.0	28828.0	20832.0	31135.0	15951.0	36956.0	1518.0	28761.0	93663.0	44288.0	1770.0	13273.0	2168.0	10673.0	42731.0	53596.0	1889.0	2179.0	3214.0	5329.0	3311.0	19.0	226113.0	301127.0	711031.0	757016.0	709819.0	572877.0	84.0	38.0
