AA	HEK293T-Torin(GSE97384)	U2OS-Myc(GSE66927_9)	U2OS-Torin(GSE66927_9)	U2OS-Myc-Torin(GSE66927_9)	MCF10A-EtOH-Gln-30min(GSE114794)	MCF10A-TAM-Gln-30min(GSE114794)	MCF10A-EtOH-Gln-04hr(GSE114794)	MCF10A-EtOH-Gly-04hr(GSE114794)	MCF10A-EtOH-Cys-04hr(GSE114794)	MCF10A-EtOH-BCAA-04hr(GSE114794)	MCF10A-TAM-Gln-04hr(GSE114794)	MCF10A-TAM-Gly-04hr(GSE114794)	MCF10A-TAM-Cys-04hr(GSE114794)	MCF10A-TAM-BCAA-04hr(GSE114794)	MCF10A-TAM-Torin-04hr(GSE114794)	MCF10A-Torin(GSE59816)	MCF10A-Serum-2h(GSE59816)	HEK293-Arg-12h-CHX(GSE112643)	HEK293-Leu-12h-CHX(GSE112643)	HEK293-Met-12h-CHX(GSE112643)	HEK293-Arg-12h-noCHX(GSE112643)	HEK293-Leu-12h-noCHX(GSE112643)	HEK293-Met-12h-noCHX(GSE112643)	PATU-8902-SerAndGly-24h(GSE139910)	TS543-MNKi1(GSE139238)	TS543-PP242(GSE139238)	HEK293-isrib(GSE65778)	HEK293-tm(GSE65778)	HEK293-tmisrib(GSE65778)	HEK293T-Torin(GSE132703)	HEK293T-sgLARP1-Torin(GSE132703)	HEK293T-sgLARP1and1B-Torin(GSE132703)	PC3-rapamycin(GSE35469)	PC3-PP242(GSE35469)	SUM159-Leu-12h(GSE69921)	SUM159-Leu-0.2x24h(GSE69921)	HMECs-serum-deprived-1h(GSE126736)	HMECs-serum-deprived-24h(GSE126736)	MCF10A-serum-deprived-1h(GSE126736)	T47D-Charcoal-Stripped-1h(GSE126736)	ZR75-1-Charcoal-Stripped-1h(GSE126736)	SUM159PT-serum-deprived-1h(GSE126736)	SUM159PT-serum-deprived-24h(GSE126736)	MDA-MB-231-serum-deprived-1h(GSE126736)	108Tcells-Trp-depletion-24h(GSE142822)	108Tcells-Trp-depletion-48h(GSE142822)	MD55A3cells-Tyr-depletion-48h(GSE142822)	MCF7-Gln-48h(GSE69923)	T47D-Gln-48h(GSE69923)	MDAMB231-Gln-48h(GSE69923)	Hs578t-Gln-48h(GSE69923)	Hela-Gln-6h(GSE115161)	Hela-Gln-9h(GSE115161)	HEK293T-Met-1h(SRA378655)	HEK293T-Leu-3h(GSE113751)	HEK293T-Arg-3h(GSE113751)	HEK293T-Leu-6h(GSE113751)	HEK293T-Arg-6h(GSE113751)	HCT116-Leu-3h(GSE113751)	HCT116-Arg-3h(GSE113751)	Hela-Leu-3h(GSE113751)	Hela-Arg-3h(GSE113751)	HEK293-Serum-2h(GSE129912)	HEK293-Arg-1h(GSE129912)
A	0.0392250576548085	-0.25973298749841	-0.0623130395955256	-0.305312480762058	-0.0769483589855123	-0.0628161028054772	-0.0137327752956196	0.0489550199904393	-0.0114414123331444	-0.144553542989492	-0.033426447066544	0.0991132526428089	0.0124447142559353	0.075455938345351	-0.0404948674434892	0.0129320759620624	0.0333060053996446	-0.364937587503639	0.0846677407852126	-0.00315584844476551	0.0792360069163923	0.00327992811253704	-0.1862531516768	-0.180100445571716	-0.0336972380731002	0.0979245763163273	0.0155843218736471	-0.0196662485192169	-0.00580606745346221	0.0885869595491213	-0.0166117922148408	0.0208418079054185	0.102717107565555	0.0703087158192447	0.146889215447737	0.0713353963741397	0.0253403679735925	-0.0475071820428487	-0.0268990861217582	-0.0221638140873102	-0.116370629119904	-0.163634802062518	-0.274996117253739	-0.0066101367423288	-0.170112889663085	0.0182581325281211	-0.0576176591919724	-0.197838832433712	-0.156509895316643	0.0146522330277674	0.101023937231517	-0.151864332541776	0.0462567004268041	0.0584209171074785	-0.0235904289567187	0.0571743791653445	-0.0408220237934497	-0.0224257325283111	0.0140645976420305	-0.0481474134558213	-0.0597794065073729	-0.128610957483635	-0.0617151802690112	0.0214133462274088
C	-0.195339425754669	-0.256869033837101	-0.139553274087615	-0.438271064700103	-0.0567482304008063	-0.129663896334374	-0.0685246071223406	0.00318226338756505	0.0988250675123052	-0.358858621395393	-0.0451887785410054	0.0245213747895904	0.0935405177818666	-0.0256283584956371	0.0628660612594779	0.166222177534067	0.0410707188045665	-0.332319772245876	-0.256568007886942	0.150003211078746	-0.453266855973976	-0.0583760767305104	-0.000182195707150534	-0.287296922973185	-0.0747712210730151	-0.081977845417159	0.0228749189384113	0.0421926235395279	0.0337560448002584	0.159091413961452	0.0139322646804612	0.149707459880033	-0.182696283560548	0.00942428702844887	-0.0343474561214267	-0.058897626372387	-0.048939282636639	-0.115884346249755	0.0323641411994821	0.00839664364749941	-0.0832140741395573	0.195064045070942	0.059557429081985	-0.0151894560426718	0.235136042970349	0.0570309301719969	0.00485875131397025	0.141502221198145	-0.180047777329355	-0.0670665215448229	-0.237798567411424	-0.255682591947432	0.035370327212765	0.137472809405709	0.0795743124293356	0.0110004056496847	0.0166833124543132	0.0635675993650236	0.219253988737919	0.218551503334713	0.0342853944577606	0.0172184845277362	-0.0240201125178383	-0.0291267901597403
D	-0.169882943588228	0.283667481432176	0.0206124400928852	0.21693982747948	0.106972033458757	0.0400768734491851	-0.171570793587535	-0.211339105810784	-0.0230797720708301	-0.172198338082663	-0.053114294430251	-0.158470019586444	0.00837466076944361	-0.184813282517865	0.0272605548384078	-0.191992561931666	-0.122764849824419	0.271025882379615	-0.00158856583598667	0.0218011024751804	-0.415225499471268	0.0270169410103547	0.166589761885876	0.13620364366414	0.0830247207908471	-0.15458248565766	-0.145554068226432	-0.265653637863127	0.063517658861931	-0.0438286269900527	-0.0789683767420417	-0.173765995876891	0.0250549539190732	-0.0666793764969424	-0.0377168090201382	0.155149172444676	-0.0783018230670455	0.172974953618695	-0.0644062903926638	-0.109575454439406	-0.115949181078733	0.052036785190206	0.319822800577864	0.00116828377732705	0.60083007554902	-0.133971890826186	-0.0768856326434272	-0.114637702312215	0.0337431317812966	0.109700656105384	-0.0898267016420903	-0.415618856091191	-0.332209167900364	-0.00880815100781946	0.104851684506765	-0.1985265092459	-0.0803867000791475	-0.251725455766698	-0.0520889859977472	-0.0747909582577855	-0.0391233281352879	-0.163693154463947	-0.0533835128096407	0.00428917538396344
E	0.229295986054889	0.0723181443198022	0.109023738120183	0.298949012828067	0.0464072577694107	0.00601996503182826	-0.177491108199091	-0.0554822497951753	0.0337587217245242	-0.162902364128483	-0.100929732165504	0.00402340892126954	0.0327542442063809	-0.170668664268274	-0.135985921928657	-0.0877505568525046	0.00390719473159669	-0.0091148781209776	0.283442925891375	0.40573609512349	-0.410987634892623	-0.0461309266554908	-0.187196201744884	-0.0238568042836453	0.0962328755840389	-0.034256778887587	-0.108889021701837	-0.16298738040798	-0.186623005833629	0.0758668653379987	0.218221736185204	-0.073222349762242	-0.0282999848717795	-0.242098703272855	-0.0529307783617659	0.0507698132653987	-0.00799793571489316	-0.00096911753531145	-0.0184319108192033	-0.0834867181558215	0.19431286845468	0.350801888824012	0.230859007884342	-0.115935883853007	0.144275883518798	0.0657116907976348	0.0710825529993903	-0.117577514430656	-0.272741865010944	-0.000944270014580808	-0.281139553756433	-0.455071070573227	-0.249222653395604	0.350529288366199	-0.0191519840211269	-0.225724485314025	-0.145666062343984	-0.347564625266335	0.0450442333781177	0.0241892421771693	-0.0752079397664123	-0.144303301476497	0.0101938696999237	0.170114898424928
F	-0.295487603295951	-0.108435488797918	-0.258019266269073	-0.470533354830629	0.00506351015727946	-0.0464572383229587	0.0189424011464889	0.193924985827455	0.01272186737303	0.0532225636771417	0.0244583677740701	0.0718838879849979	0.0817374056233669	-0.0308051863822802	0.00425925711149342	-0.152219718233766	-0.211566992624917	0.200978391719582	0.0480060230385833	-0.268212470688426	-0.131859368236393	-0.0221200731414657	0.115039642319666	-0.00530144766984107	-0.0969988154876299	-0.351888243458815	0.10931363781351	0.0949383523426004	-0.0567553134401533	-0.0996675915897658	-0.00829431098442958	0.0454170901549549	-0.1480434667134	-0.134964551663897	-0.200601032160884	-0.0906045691030421	0.0743913218860816	-0.147644699024931	0.209152435603556	-0.0331794293018836	-0.151532853816458	0.0708619042398745	-0.0450749170212933	0.0789877482778362	-0.579416366544814	-0.342480745960741	-0.0475150713207513	0.248617471877686	-0.00947853098735463	-0.0112066082627831	-0.361188938207249	-0.0910506399378211	0.311555062512437	-0.306280372238863	0.142457737931885	-0.0225034454340878	0.0637096853646033	0.0735896417788535	0.179968119568397	0.0927755587778936	-0.0538783883333275	-0.0668290635735879	0.0188535213512979	0.526408575510627
G	0.240898399647757	0.00214457303420223	0.0754731131965014	-0.119477601483707	-0.0291903105704557	0.00286534997860253	0.00527962131004351	-0.0433334582843592	0.0834651523558625	-0.265849728268468	-0.0409202323236476	0.0250239096441792	0.0902223544386822	-0.0314729417715293	0.0410943508221048	0.00598586425834967	0.217885713860217	0.0247285817330377	0.493695925957356	0.387924149168069	-0.104669712106137	-0.0193173359518599	-0.269114365013358	-0.0511251802159115	0.0908312389073737	0.0165491506561098	-0.0450409293081829	-0.0846908515517957	-0.00165263242715546	0.148974909994515	0.123813215198841	0.00527449625852072	-0.105354511566062	0.0333615272994001	0.0170664902774935	0.0724831950533085	-0.0613368862614415	0.0854979859025524	-0.108228796367066	0.00370612302111456	-0.0881412749214697	0.0812197078977249	-0.115048448018212	-0.0433822099144931	0.185235151140413	-0.0137575261780482	-0.0627182056725972	-0.20192957276072	-0.106776736604162	-0.0610285477723351	-0.11025651460465	-0.694080923502616	-0.159046237663452	0.3730651369475	0.0333725647556781	-0.0634942526707948	-0.0583341250512805	-0.144315575718897	0.0199153780470478	0.0319541489625134	-0.0737355991861561	-0.197159979692196	-0.252282903955341	-0.00428640943042683
H	0.205908746036396	-0.0848204621333469	-0.181215817898471	-0.375623457258258	-0.00152835603272162	-0.0473624368103144	-0.0925471386581174	-0.159989475353825	-0.0691667335283323	-0.198919881293092	-0.0195638347478643	-0.0979062758969656	-0.027544964062982	0.000978709734439652	0.0856059195226613	-0.067405450269034	-0.00103754778818759	-0.15900185451075	-0.125211769037958	-1.36538320384313	-0.10764897166981	-0.111585497726455	0.205263409181401	-0.226680763457528	-0.145920266947799	-0.198846937396826	-0.0965290705106197	-0.109425111109286	-0.314180527169277	-0.0173842707422081	0.0968352935793656	-0.0793856297948943	-0.178001506799752	0.199743419218814	0.0101091374715077	0.0889740162004424	-0.21210609948344	-0.0806249249795091	0.0841727800292753	-0.0103222225784344	-0.147233764964195	-0.113830354733556	0.176022863812442	0.0513279463513472	0.685372978187605	-0.211519107048998	-0.0286203554108986	0.0976387221564689	-0.0845171445299925	-0.0212538684315098	-0.0331877599925802	-0.305715111210014	-0.256598631358205	-1.27356955922767	0.0712389992970461	-0.00206636108662984	-0.00444465572607087	0.0431456739174687	0.0715673704046486	0.264180714613769	-0.0737616062573022	-0.0202559649282725	0.0572993328250237	0.0913708682048266
I	-0.405232786344445	-0.0676229132735254	-0.340725184128984	-0.381106062604519	0.00778321646785929	0.0150454069698727	0.0281405496088585	0.0568877164775341	0.00909783443714143	0.0946660974277816	0.014600419736039	-0.037937592706449	0.0459481928972827	-0.0955966391586963	-0.0184274683820004	-0.241457469657482	-0.561296725921404	0.1061685024506	0.00463934713924234	-1.13192741338045	0.0960976987366549	0.0518579113905489	0.0971713996645159	0.147954161917933	-0.314899900386173	-0.501953963122666	0.130140674967306	0.00538900716403443	0.063677245955795	-0.160913443335408	-0.122945659785534	-0.136008935052302	0.0966593684475006	-0.110734715108063	-0.144767452549727	-0.0883321029295191	0.0907424350170302	-0.174414889384442	0.342007809247681	0.103641432254387	0.0560418428159898	-0.241012384407168	-0.223919888881424	0.0795006941294442	-0.234179540763661	-0.29674259033191	0.0424372295594783	0.299632149581701	0.348733464073224	-0.0789456738651732	-0.17517308818956	2.54230285481569	1.14690358351324	-1.16627732707014	-0.084304396010618	0.0109605042712855	0.0069755305201275	0.0117052089213184	0.00377301199776186	0.0123627444556573	0.0312609445382253	0.0282372269786629	0.0895721471647158	0.219385560218119
K	0.0731951510667722	0.123692216782531	-0.0263932016639726	-0.0017621527316067	-0.00266103366449627	-0.0004320315982412	-0.104202414325157	-0.00792179856032436	0.0183001427402931	0.0415961718787966	0.00527603061682918	-0.024436038904045	0.060828825828738	-0.0069467315209318	-0.0868437413883284	-0.20168162958392	-0.118181291337521	-0.0517278595346279	-0.263296967669731	-0.894370416667446	0.0804779653805491	-0.0132528592510608	-0.125365117963591	0.187408914280919	0.0187732951306585	-0.303445057613095	-0.000778376805338451	-0.0822983150128742	0.0586479953951877	-0.246084308989575	-0.119080223951103	-0.170819400164201	-0.0804012101262265	-0.175364101827867	-0.0480082407976913	0.0352972289783082	0.0428831316007706	0.010544609268159	0.131999060302565	-0.0631822448786633	0.0743270741188072	0.0453201482934471	0.134143357809142	-0.0749697317203279	-0.0243299673068049	-0.212181974790819	0.00365755352658138	0.20333459383056	-0.0699338570865135	0.0256127195957436	-0.0613609374848534	0.186851747965899	0.0771250519912161	-0.893101472168187	-0.392220507845899	-0.10630504520462	-0.0311985391061846	-0.0419981017097639	-0.118079509338741	-0.09969400971751	-0.129144773580456	-0.0479365652980039	0.124343008085028	0.173788092494637
L	-0.256691288366663	-0.220352328057346	-0.131028275414287	-0.334023402776501	-0.0441812963835779	-0.027779966263266	-0.0226182177381148	0.077500945274366	-0.00489155668365993	-0.0370310330330373	-0.0108811948913805	0.0127248516737314	0.0316450831764522	0.0101531622846057	0.0294069346828587	-0.0501627761360716	-0.183084194301548	-0.286622780480648	-0.143833498289835	0.156127474801012	0.0996987255282352	0.121271038996899	-0.00686802065360417	-0.0395660716903688	-0.0233744021773821	-0.0532278261747563	0.121947281734787	0.0465098636419508	0.0734107122145616	-0.0263397002674695	-0.0317126032096861	0.0530598941139954	-0.0247892381255982	-0.107467882017913	-0.0202716702146751	-0.0478503850821212	0.106554127437653	-0.0966511484880403	0.221681429448547	0.10289269287958	-0.0062168068401702	0.143916261924557	-0.183888793003635	-0.0678816910581808	-0.279509134092986	-0.0814590171608317	0.0477789371904576	0.0432037752730378	-0.00290782193587851	-0.178252816579181	-0.176086433861853	-0.0981146762306107	0.192856451737229	0.150972224286183	0.0226965777712457	0.00232485150381747	0.214176374928551	0.0541016218611287	0.11096574336314	0.0196445845090045	0.118837399054401	0.106371207240253	0.0887441489073699	0.172300678866244
