TranscriptID	Compare	GSEID	CellLines	Treat	Time
HEK293T-Torin-Ctrl(GSE97384)	HEK293T-Torin-Ctrl	GSE97384	HEK293T	Torin	-
U2OS-Myc-Ctrl(GSE66927_9)	U2OS-Myc-Ctrl	GSE66927_9	U2OS	Myc-OE	-
U2OS-Torin-Ctrl(GSE66927_9)	U2OS-Torin-Ctrl	GSE66927_9	U2OS	Torin	-
U2OS-Myc-Torin-Ctrl(GSE66927_9)	U2OS-Myc-Torin-Ctrl	GSE66927_9	U2OS	Myc-Torin	-
MCF10A-EtOH-NoQ-04hr-Ctrl(GSE114794)	MCF10A-EtOH-NoQ-04hr-Ctrl	GSE114794	MCF10A	EtOH-NoQ	04hr
MCF10A-EtOH-NoG-04hr-Ctrl(GSE114794)	MCF10A-EtOH-NoG-04hr-Ctrl	GSE114794	MCF10A	EtOH-NoG	04hr
MCF10A-EtOH-NoCys-04hr-Ctrl(GSE114794)	MCF10A-EtOH-NoCys-04hr-Ctrl	GSE114794	MCF10A	EtOH-NoCys	04hr
MCF10A-EtOH-NoBCAA-04hr-Ctrl(GSE114794)	MCF10A-EtOH-NoBCAA-04hr-Ctrl	GSE114794	MCF10A	EtOH-NoBCAA	04hr
MCF10A-EtOH-NoQ-30min-Ctrl(GSE114794)	MCF10A-EtOH-NoQ-30min-Ctrl	GSE114794	MCF10A	EtOH-NoQ	30min
MCF10A-TAM-NoQ-30min-Ctrl(GSE114794)	MCF10A-TAM-NoQ-30min-Ctrl	GSE114794	MCF10A	TAM-NoQ	30min
MCF10A-TAM-NoQ-04hr-Ctrl(GSE114794)	MCF10A-TAM-NoQ-04hr-Ctrl	GSE114794	MCF10A	TAM-NoQ	04hr
MCF10A-TAM-NoG-04hr-Ctrl(GSE114794)	MCF10A-TAM-NoG-04hr-Ctrl	GSE114794	MCF10A	TAM-NoG	04hr
MCF10A-TAM-NoCys-04hr-Ctrl(GSE114794)	MCF10A-TAM-NoCys-04hr-Ctrl	GSE114794	MCF10A	TAM-NoCys	04hr
MCF10A-TAM-NoBCAA-04hr-Ctrl(GSE114794)	MCF10A-TAM-NoBCAA-04hr-Ctrl	GSE114794	MCF10A	TAM-NoBCAA	04hr
MCF10A-Torin-DMSO(GSE59816)	MCF10A-Torin-DMSO	GSE59816	MCF10A	Torin	DMSO
MCF10A-Serum-2h-DMSO(GSE59816)	MCF10A-Serum-2h-DMSO	GSE59816	MCF10A	Serum-	2h
HEK293-Arg-12h-CHX-Ctrl(GSE112643)	HEK293-Arg-12h-CHX-Ctrl	GSE112643	HEK293	Arg-	12h
HEK293-Arg-12h-noCHX-Ctrl(GSE112643)	HEK293-Arg-12h-noCHX-Ctrl	GSE112643	HEK293	Arg-	12h
HEK293-Leu-12h-CHX-Ctrl(GSE112643)	HEK293-Leu-12h-CHX-Ctrl	GSE112643	HEK293	Leu-	12h
