	Frame0	Frame1	Frame2
HEK293-Arg-12h-noCHX	0.72	0.14	0.14
HEK293-Leu-12h-CHX	0.77	0.08	0.15
HEK293-Met-12h-noCHX	0.71	0.14	0.15
HEK293-Arg-12h-CHX	0.69	0.12	0.19
HEK293-Ctrl-noCHX	0.72	0.12	0.16
HEK293-Met-12h-CHX	0.53	0.21	0.26
HEK293-Ctrl-CHX	0.71	0.1	0.19
HEK293-Leu-12h-noCHX	0.72	0.13	0.15
HCT116-Arg-3h	0.41	0.34	0.25
HCT116-Leu-3h	0.41	0.34	0.25
Hela-Leu-3h	0.39	0.33	0.28
HEK293T-Arg-3h	0.32	0.39	0.29
HEK293T-Leu-6h	0.3	0.42	0.28
Hela-Rich-3h	0.4	0.34	0.26
HCT116-Rich-3h	0.4	0.34	0.26
HEK293T-Arg-6h	0.31	0.41	0.28
HEK293T-Rich-3h	0.32	0.39	0.29
HEK293T-Rich-6h	0.3	0.43	0.27
Hela-Arg-3h	0.39	0.34	0.27
HEK293T-Leu-3h	0.33	0.39	0.28
MCF10A-TAM-NoQ-30min-2	0.5	0.18	0.32
MCF10A-TAM-Ctrl-30min-1	0.55	0.17	0.28
MCF10A-EtOH-Ctrl-30min-1	0.51	0.18	0.31
MCF10A-TAM-NoQ-30min-1	0.54	0.19	0.27
MCF10A-EtOH-NoQ-30min-1	0.5	0.19	0.31
MCF10A-EtOH-Ctrl-30min-2	0.45	0.19	0.36
MCF10A-TAM-Ctrl-30min-2	0.5	0.17	0.33
MCF10A-EtOH-NoQ-30min-2	0.5	0.18	0.32
MCF10A-EtOH-NoG-04hr-2	0.55	0.21	0.24
MCF10A-EtOH-NoQ-04hr-1	0.53	0.21	0.26
MCF10A-EtOH-Ctrl-04hr-1	0.56	0.18	0.26
MCF10A-EtOH-NoCys-04hr-1	0.53	0.21	0.26
MCF10A-EtOH-Ctrl-04hr-2	0.53	0.22	0.25
MCF10A-EtOH-NoCys-04hr-3	0.48	0.18	0.34
MCF10A-EtOH-NoQ-04hr-2	0.51	0.22	0.27
MCF10A-EtOH-NoBCAA-04hr-3	0.49	0.17	0.34
MCF10A-EtOH-Ctrl-04hr-3	0.49	0.17	0.34
MCF10A-EtOH-NoBCAA-04hr-2	0.54	0.22	0.24
MCF10A-EtOH-NoG-04hr-3	0.53	0.17	0.3
MCF10A-EtOH-NoCys-04hr-2	0.43	0.27	0.3
MCF10A-TAM-Torin-04hr-1	0.57	0.19	0.24
MCF10A-TAM-NoCys-04hr-2	0.41	0.25	0.34
MCF10A-TAM-NoG-04hr-2	0.52	0.22	0.26
MCF10A-TAM-NoCys-04hr-3	0.6	0.18	0.22
MCF10A-TAM-NoBCAA-04hr-3	0.54	0.19	0.27
MCF10A-TAM-Ctrl-04hr-1	0.55	0.2	0.25
MCF10A-TAM-NoQ-04hr-1	0.53	0.2	0.27
MCF10A-TAM-Ctrl-04hr-3	0.6	0.18	0.22
MCF10A-TAM-NoG-04hr-3	0.61	0.19	0.2
MCF10A-TAM-Ctrl-04hr-2	0.53	0.21	0.26
MCF10A-TAM-NoBCAA-04hr-2	0.5	0.22	0.28
MCF10A-TAM-NoQ-04hr-2	0.58	0.2	0.22
Hela-Gln-6h	0.68	0.16	0.16
Hela-Ctrl-1	0.53	0.21	0.26
Hela-Ctrl-2	0.57	0.18	0.25
Hela-Gln-9h	0.5	0.27	0.23
ZR75-1-Charcoal-Stripped-1h	0.55	0.18	0.27
HMECs-serum-full	0.54	0.17	0.29
SUM159PT-serum-full	0.56	0.22	0.22
HMECs-serum-deprived-1h	0.54	0.18	0.28
T47D-serum-full	0.58	0.23	0.19
MDA-MB-231-serum-full	0.44	0.21	0.35
SUM159PT-serum-deprived-24h	0.61	0.21	0.18
MCF10A-serum-full	0.62	0.17	0.21
MDA-MB-231-serum-deprived-1h	0.47	0.17	0.36
SUM159PT-serum-deprived-1h	0.53	0.19	0.28
T47D-Charcoal-Stripped-1h	0.6	0.16	0.24
ZR75-1-serum-full	0.56	0.16	0.28
HMECs-serum-deprived-24h	0.52	0.21	0.27
SUM159PT-serum-full-5h	0.57	0.16	0.27
MCF10A-serum-deprived-1h	0.59	0.14	0.27
HEK293-Serum-2h-2	0.44	0.32	0.24
HEK293-Serum-2h-1	0.51	0.25	0.24
HEK293-Ctrl-1	0.53	0.29	0.18
HEK293-Ctrl-2	0.47	0.3	0.23
HEK293-Arg-1h-2	0.5	0.25	0.25
HEK293-Arg-1h-1	0.53	0.24	0.23
sgLARP1and1B-DMSO-2	0.34	0.33	0.33
sgLARP1and1B-DMSO-1	0.35	0.32	0.33
sgLARP1-Torin-1	0.39	0.27	0.34
DMSO-2	0.37	0.27	0.36
sgLARP1and1B-Torin-1	0.33	0.33	0.34
sgLARP1-DMSO-2	0.37	0.27	0.36
Torin-2	0.4	0.27	0.33
sgLARP1-Torin-2	0.38	0.27	0.35
Torin-1	0.4	0.28	0.32
sgLARP1and1B-Torin-2	0.33	0.34	0.33
DMSO-1	0.39	0.28	0.33
sgLARP1-DMSO-1	0.39	0.28	0.33
TS543-DMSO-1	0.67	0.21	0.12
TS543-PP242-2	0.61	0.23	0.16
TS543-MNKi1-1	0.63	0.22	0.15
TS543-MNKi1-2	0.63	0.22	0.15
TS543-DMSO-2	0.7	0.18	0.12
TS543-PP242-1	0.61	0.23	0.16
PATU-8902-woSG-24h-1	0.42	0.29	0.29
PATU-8902-woSG-24h-3	0.41	0.28	0.31
PATU-8902-wSG-24h-3	0.42	0.27	0.31
PATU-8902-wSG-24h-2	0.41	0.28	0.31
PATU-8902-woSG-24h-2	0.41	0.28	0.31
PATU-8902-wSG-24h-1	0.42	0.28	0.3
108Tcells-Trp-depletion-24h-1	0.36	0.26	0.38
MD55A3cells-Tyr-full-2	0.6	0.11	0.29
108Tcells-Trp-depletion-24h-2	0.36	0.27	0.37
108Tcells-Trp-depletion-48h-2	0.55	0.19	0.26
108Tcells-Trp-full-48h	0.53	0.18	0.29
MD55A3cells-Tyr-depletion-48h-2	0.65	0.09	0.26
108Tcells-Trp-depletion-48h-1	0.57	0.18	0.25
MD55A3cells-Tyr-depletion-48h-1	0.63	0.11	0.26
MD55A3cells-Tyr-full-1	0.58	0.11	0.31
108Tcells-Trp-full-24h	0.57	0.18	0.25
PC3-rapamycin-2	0.59	0.18	0.23
PC3-PP242-1	0.48	0.21	0.31
PC3-PP242-2	0.51	0.22	0.27
PC3-vehicle-1	0.65	0.22	0.13
PC3-rapamycin-1	0.53	0.13	0.34
PC3-vehicle-2	0.59	0.21	0.2
MCF10A-Serum-2h	0.45	0.24	0.31
MCF10A-Torin	0.52	0.18	0.3
MCF10A-Ctrl	0.55	0.16	0.29
HEK293-tm-2	0.46	0.27	0.27
HEK293-tm-1	0.43	0.29	0.28
HEK293-tmisrib-2	0.4	0.3	0.3
HEK293-untreated-2	0.46	0.23	0.31
HEK293-isrib-1	0.44	0.27	0.29
HEK293-untreated-1	0.4	0.29	0.31
HEK293-tmisrib-1	0.36	0.33	0.31
HEK293-isrib-2	0.43	0.26	0.31
U2OS-Myc-Torin	0.63	0.16	0.21
U2OS-Myc-1	0.51	0.16	0.33
U2OS-Ctrl-1	0.61	0.11	0.28
U2OS-Torin	0.64	0.16	0.2
U2OS-Ctrl-2	0.61	0.14	0.25
U2OS-Myc-2	0.6	0.17	0.23
SUM159-Ctrl	0.59	0.16	0.25
SUM159-Leu-0.2x24h	0.53	0.11	0.36
SUM159-Leu-12h	0.52	0.2	0.28
Hs578t-Gln-48h	0.49	0.3	0.21
MDAMB231-Ctrl	0.49	0.21	0.3
T47D-Ctrl	0.65	0.1	0.25
T47D-Gln-48h	0.51	0.23	0.26
MCF7-Gln-48h	0.66	0.08	0.26
Hs578t-Ctrl	0.55	0.19	0.26
MDAMB231-Gln-48h	0.33	0.39	0.28
MCF7-Ctrl	0.79	0.07	0.14
HEK293T-Ctrl-2	0.43	0.3	0.27
HEK293T-Ctrl-1	0.41	0.3	0.29
HEK293T-Torin-1	0.45	0.29	0.26
HEK293T-Torin-2	0.44	0.31	0.25
HEK293T-Ctrl	0.71	0.09	0.2
HEK293T-Met-1h	0.55	0.18	0.27
