chrom	trans_id	strand	gene_id	gene_name	transcript_biotype	gene_start	gene_stop	CDS_start	CDS_stop	CDS_length	5UTR_length	3UTR_length	transcript_length
1	ENST00000641094	+	ENSG00000204060	FOXO6	protein_coding	41361931	41382681	1	1479	1479	0	0	1479
17	ENST00000614445	-	ENSG00000167085	PHB1	protein_coding	49404072	49414884	170	988	819	169	920	1908
12	ENST00000553106	-	ENSG00000171759	PAH	protein_coding	102836889	102917244	115	1473	1359	114	2286	3759
22	ENST00000358763	-	ENSG00000185666	SYN3	protein_coding	32507820	33058381	253	1995	1743	252	5872	7867
20	ENST00000245957	+	ENSG00000089101	CFAP61	protein_coding	20052532	20360698	97	3810	3714	96	288	4098
7	ENST00000330387	-	ENSG00000182158	CREB3L2	protein_coding	137874979	138002086	382	1944	1563	381	5497	7441
2	ENST00000314761	+	ENSG00000115368	WDR75	protein_coding	189441474	189475552	20	2512	2493	19	135	2647
11	ENST00000344327	-	ENSG00000137672	TRPC6	protein_coding	101451564	101584007	505	3300	2796	504	1391	4691
13	ENST00000382874	+	ENSG00000121741	ZMYM2	protein_coding	19958708	20091829	191	4324	4134	190	5815	10139
17	ENST00000262138	+	ENSG00000075461	CACNG4	protein_coding	66964707	67033398	206	1189	984	205	2394	3583
16	ENST00000649205	+	ENSG00000122390	NAA60	protein_coding	3443694	3486909	360	1088	729	359	2054	3142
3	ENST00000394144	+	ENSG00000036054	TBC1D23	protein_coding	100260992	100325238	28	2127	2100	27	1570	3697
3	ENST00000493094	-	ENSG00000121577	POPDC2	protein_coding	119642056	119660589	167	1273	1107	166	549	1822
11	ENST00000334636	-	ENSG00000186104	CYP2R1	protein_coding	14877440	14892231	27	1532	1506	26	682	2214
20	ENST00000266077	+	ENSG00000125520	SLC2A4RG	protein_coding	63739776	63744050	138	1301	1164	137	1060	2361
22	ENST00000402918	-	ENSG00000166897	ELFN2	protein_coding	37367960	37427479	796	3258	2463	795	5112	8370
12	ENST00000369367	-	ENSG00000139218	SCAF11	protein_coding	45919131	45990574	244	4635	4392	243	2917	7552
14	ENST00000305631	-	ENSG00000168350	DEGS2	protein_coding	100143957	100159645	59	1030	972	58	2804	3834
11	ENST00000299506	+	ENSG00000166402	TUB	protein_coding	8081211	8106243	301	1821	1521	300	4624	6445
7	ENST00000310758	-	ENSG00000155849	ELMO1	protein_coding	36852906	37448864	264	2447	2184	263	2645	5092
9	ENST00000300456	+	ENSG00000167114	SLC27A4	protein_coding	128340527	128361470	319	2250	1932	318	979	3229
X	ENST00000297904	-	ENSG00000165197	VEGFD	protein_coding	15345596	15384413	468	1532	1065	467	537	2069
5	ENST00000333055	-	ENSG00000131446	MGAT1	protein_coding	180784782	180815541	674	2011	1338	673	6852	8863
X	ENST00000393600	+	ENSG00000071859	FAM50A	protein_coding	154444141	154450654	96	1115	1020	95	222	1337
7	ENST00000275364	-	ENSG00000146535	GNA12	protein_coding	2728105	2844308	148	1293	1146	147	3076	4369
20	ENST00000357394	+	ENSG00000125991	ERGIC3	protein_coding	35542038	35557634	61	1227	1167	60	130	1357
11	ENST00000312397	+	ENSG00000175467	SART1	protein_coding	65961734	65980137	48	2450	2403	47	1107	3557
16	ENST00000567511	-	ENSG00000166595	CIAO2B	protein_coding	66932067	66934362	1	484	484	0	212	696
19	ENST00000676943	-	ENSG00000104969	SGTA	protein_coding	2754723	2783241	696	1637	942	695	1217	2854
22	ENST00000252137	-	ENSG00000100056	ESS2	protein_coding	19130279	19144651	12	1442	1431	11	3917	5359
11	ENST00000330106	-	ENSG00000184524	CEND1	protein_coding	787115	790090	144	593	450	143	1012	1605
19	ENST00000301452	-	ENSG00000167769	ACER1	protein_coding	6306142	6333612	62	856	795	61	572	1428
11	ENST00000624187	-	ENSG00000279012	OR51B2	protein_coding	5323359	5324297	1	939	939	0	0	939
15	ENST00000397609	+	ENSG00000171262	FAM98B	protein_coding	38454127	38487710	36	1337	1302	35	3051	4388
3	ENST00000483943	-	ENSG00000114115	RBP1	protein_coding	139524407	139539719	188	463	276	187	1472	1935
9	ENST00000460843	+	ENSG00000181090	EHMT1	protein_coding	137619005	137836127	25	3921	3897	24	1174	5095
16	ENST00000620094	+	ENSG00000122386	ZNF205	protein_coding	3112579	3120515	455	2119	1665	454	190	2309
19	ENST00000650722	-	ENSG00000205784	ARRDC5	protein_coding	4890437	4902896	72	1058	987	71	609	1667
15	ENST00000355112	+	ENSG00000197299	BLM	protein_coding	90717346	90816166	100	4353	4254	99	887	5240
16	ENST00000553607	-	ENSG00000149922	TBX6	protein_coding	30087916	30091887	695	1582	888	694	580	2162
15	ENST00000567744	-	ENSG00000138614	INTS14	protein_coding	65579027	65611121	374	2038	1665	373	381	2419
17	ENST00000612339	+	ENSG00000184988	TMEM106A	protein_coding	43211875	43220041	238	1026	789	237	2240	3266
4	ENST00000402744	+	ENSG00000109472	CPE	protein_coding	165379008	165498547	215	1645	1431	214	937	2582
X	ENST00000381657	+	ENSG00000182378	PLCXD1	protein_coding	281381	303356	326	1297	972	325	4021	5318
17	ENST00000381129	-	ENSG00000129221	AIPL1	protein_coding	6423738	6435121	18	1172	1155	17	1722	2894
17	ENST00000317370	+	ENSG00000181856	SLC2A4	protein_coding	7281718	7288257	218	1747	1530	217	1628	3375
4	ENST00000394897	-	ENSG00000172955	ADH6	protein_coding	99202638	99219235	84	971	888	83	2366	3337
17	ENST00000576930	+	ENSG00000132507	EIF5A	protein_coding	7307540	7312455	330	794	465	329	645	1439
11	ENST00000534397	+	ENSG00000149021	SCGB1A1	protein_coding	62405103	62423195	192	362	171	191	104	466
11	ENST00000308436	-	ENSG00000149016	TUT1	protein_coding	62575045	62591637	39	2777	2739	38	49	2826
7	ENST00000679266	+	ENSG00000106682	EIF4H	protein_coding	74174358	74197093	519	854	336	518	1785	2639
11	ENST00000298854	-	ENSG00000165917	RAPSN	protein_coding	47437764	47449136	173	1411	1239	172	211	1622
20	ENST00000369908	-	ENSG00000198276	UCKL1	protein_coding	63939924	63951126	301	1902	1602	300	52	1954
7	ENST00000013222	+	ENSG00000241644	INMT	protein_coding	30752135	30757602	17	808	792	16	1751	2559
8	ENST00000522591	+	ENSG00000160886	LY6K	protein_coding	142700472	142704164	57	314	258	56	2410	2724
9	ENST00000381854	+	ENSG00000106993	CDC37L1	protein_coding	4679569	4708399	200	1213	1014	199	2287	3500
X	ENST00000599522	+	ENSG00000154545	MAGED4	protein_coding	52184876	52192268	143	2416	2274	142	202	2618
2	ENST00000296098	+	ENSG00000138100	TRIM54	protein_coding	27282462	27307439	271	1473	1203	270	554	2027
3	ENST00000206423	-	ENSG00000091986	CCDC80	protein_coding	112596797	112641143	829	3681	2853	828	8620	12301
8	ENST00000285379	+	ENSG00000104267	CA2	protein_coding	85464007	85481493	76	858	783	75	704	1562
14	ENST00000280987	+	ENSG00000151327	FAM177A1	protein_coding	35046272	35083378	193	903	711	192	2150	3053
2	ENST00000283243	-	ENSG00000153246	PLA2R1	protein_coding	159932006	160062615	213	4604	4392	212	9772	14376
2	ENST00000302450	-	ENSG00000169607	CKAP2L	protein_coding	112736349	112764609	12	2249	2238	11	2474	4723
12	ENST00000392842	+	ENSG00000111783	RFX4	protein_coding	106583004	106762803	318	2525	2208	317	1334	3859
4	ENST00000382723	+	ENSG00000163132	MSX1	protein_coding	4859665	4863936	236	1147	912	235	793	1940
12	ENST00000423955	+	ENSG00000170442	KRT86	protein_coding	52274645	52309163	209	1669	1461	208	578	2247
19	ENST00000594710	-	ENSG00000269067	ZNF728	protein_coding	22974883	23003176	147	2015	1869	146	585	2600
12	ENST00000261637	+	ENSG00000120800	UTP20	protein_coding	101280105	101386618	179	8536	8358	178	495	9031
3	ENST00000636136	-	ENSG00000163673	DCLK3	protein_coding	36712421	36764553	291	2744	2454	290	2907	5651
9	ENST00000374874	+	ENSG00000148123	PLPPR1	protein_coding	101028727	101325135	422	1399	978	421	1078	2477
10	ENST00000393760	+	ENSG00000171307	ZDHHC16	protein_coding	97446175	97457370	365	1498	1134	364	479	1977
19	ENST00000458035	+	ENSG00000213799	ZNF845	protein_coding	53333749	53356906	118	3030	2913	117	3318	6348
1	ENST00000540437	-	ENSG00000127054	INTS11	protein_coding	1311585	1324687	535	2355	1821	534	274	2629
22	ENST00000615003	+	ENSG00000159496	RGL4	protein_coding	23690861	23699171	1579	2811	1233	1578	203	3014
11	ENST00000335613	-	ENSG00000167992	VWCE	protein_coding	61258286	61295316	280	3147	2868	279	389	3536
2	ENST00000337768	-	ENSG00000119760	SUPT7L	protein_coding	27650809	27663614	376	1620	1245	375	2676	4296
11	ENST00000279791	-	ENSG00000150269	OR5M9	protein_coding	56462469	56463401	1	933	933	0	0	933
17	ENST00000571814	+	ENSG00000176845	METRNL	protein_coding	83084073	83094844	942	1631	690	941	269	1900
17	ENST00000586178	-	ENSG00000011258	MBTD1	protein_coding	51177425	51260049	328	2214	1887	327	3151	5365
20	ENST00000372557	-	ENSG00000101470	TNNC2	protein_coding	45823214	45833745	209	646	438	208	134	780
